"ID_LST";"NOM_LISTE";"URL_CATALOGUE";"URL_REELLE";"STATUT";"NB_ELEMENTS_CATALOGUE";"NB_ELEMENTS_REEL";"NB_COLONNES_CATALOGUE";"NB_COLONNES_REEL";"NB_VUES_CATALOGUE";"NB_VUES_REEL";"DETAIL"
"LST-000021";"OBJ-JRN-GEO";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRNGEO";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRNGEO";"CONFORME";"74";"74";"25";"25";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000022";"OBJ-MODULE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJMODULE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJMODULE";"CONFORME";"0";"0";"0";"0";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000023";"OBJ-ORG";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJORG";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJORG";"CONFORME";"4";"4";"23";"23";"10";"10";"Catalogue coherent avec SharePoint."
"LST-000024";"OBJ-ORG-COMPTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJORGCOMPTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJORGCOMPTE";"CONFORME";"4";"4";"16";"16";"4";"4";"Catalogue coherent avec SharePoint."
"LST-000025";"OBJ-ORG-CONTACT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJORGCONTACT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJORGCONTACT";"CONFORME";"2";"2";"20";"20";"4";"4";"Catalogue coherent avec SharePoint."
"LST-000026";"OBJ-PWS";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJPWS";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJPWS";"CONFORME";"0";"0";"0";"0";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000027";"OBJ-REF-00";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF00";"";"LISTE MANQUANTE";"22";"0";"5";"0";"4";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000028";"OBJ-REF-10";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF10";"";"LISTE MANQUANTE";"49";"0";"10";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000029";"OBJ-REF-20";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF20";"";"LISTE MANQUANTE";"17";"0";"14";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000030";"OBJ-REF-30";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF30";"";"LISTE MANQUANTE";"20";"0";"14";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000031";"OBJ-REF-40";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF40";"";"LISTE MANQUANTE";"18";"0";"14";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000032";"OBJ-REF-50";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF50";"";"LISTE MANQUANTE";"11";"0";"14";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000033";"OBJ-REF-60";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF60";"";"LISTE MANQUANTE";"16";"0";"14";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000034";"OBJ-REF-70";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF70";"";"LISTE MANQUANTE";"19";"0";"14";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000035";"OBJ-REF-80";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF80";"";"LISTE MANQUANTE";"15";"0";"14";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000036";"OBJ-REF-90";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF90";"";"LISTE MANQUANTE";"18";"0";"14";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000037";"OBJ-REF-95";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF95";"";"LISTE MANQUANTE";"8";"0";"3";"0";"1";"0";"Aucun conteneur SharePoint ne correspond au NOMLISTE catalogue."
"LST-000038";"OBJ-REF-DOMAINE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFDOMAINE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFDOMAINE";"CONFORME";"14";"14";"4";"4";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000039";"OBJ-REF-LST-STATUT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFLSTSTATUT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFLSTSTATUT";"CONFORME";"7";"7";"4";"4";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000040";"OBJ-REF-LST-TYPE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFLSTTYPE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFLSTTYPE";"CONFORME";"11";"11";"4";"4";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000041";"OBJ-REF-ORG-COMPTE-TYPE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGCOMPTETYPE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGCOMPTETYPE";"CONFORME";"11";"11";"4";"4";"2";"2";"Catalogue coherent avec SharePoint."
"LST-000042";"OBJ-REF-ORG-CONTACT-TYPE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGCONTACTTYPE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGCONTACTTYPE";"CONFORME";"8";"8";"4";"4";"2";"2";"Catalogue coherent avec SharePoint."
"LST-000043";"OBJ-REF-ORG-SECTEUR";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGSECTEUR";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGSECTEUR";"CONFORME";"9";"9";"4";"4";"2";"2";"Catalogue coherent avec SharePoint."
"LST-000044";"OBJ-REF-ORG-STATUT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGSTATUT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGSTATUT";"CONFORME";"6";"6";"4";"4";"2";"2";"Catalogue coherent avec SharePoint."
"LST-000045";"OBJ-REF-ORG-TYPE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGTYPE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREFORGTYPE";"CONFORME";"12";"12";"4";"4";"2";"2";"Catalogue coherent avec SharePoint."
"LST-000046";"OBJ-REL";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREL";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREL";"CONFORME";"32";"32";"10";"10";"2";"2";"Catalogue coherent avec SharePoint."
"LST-000047";"OBJ-SITE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSITE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSITE";"CONFORME";"0";"0";"0";"0";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000048";"OBJ-STATUT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSTATUT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSTATUT";"CONFORME";"0";"0";"0";"0";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000049";"Pages";"https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages";"https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages";"CONFORME";"14";"14";"18";"18";"5";"5";"Catalogue coherent avec SharePoint."
"LST-000050";"Pièces jointes";"https://blogssite.sharepoint.com/sites/Bibliotheque/SiteAssets";"https://blogssite.sharepoint.com/sites/Bibliotheque/SiteAssets";"CONFORME";"20";"20";"3";"3";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000051";"ZZ-ARCHIVE-DSE-AUTRE - Bibliothèque de styles";"https://blogssite.sharepoint.com/sites/Bibliotheque/Style Library";"https://blogssite.sharepoint.com/sites/Bibliotheque/Style Library";"CONFORME";"0";"0";"2";"2";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000052";"ZZ-ARCHIVE-DSE-AUTRE - Modèles de formulaire";"https://blogssite.sharepoint.com/sites/Bibliotheque/FormServerTemplates";"https://blogssite.sharepoint.com/sites/Bibliotheque/FormServerTemplates";"CONFORME";"0";"0";"10";"10";"2";"2";"Catalogue coherent avec SharePoint."
"LST-000053";"ZZ-ARCHIVE-DSE-Ressources d’assistant";"https://blogssite.sharepoint.com/sites/Bibliotheque/AgentAssets";"https://blogssite.sharepoint.com/sites/Bibliotheque/AgentAssets";"CONFORME";"4";"4";"2";"2";"1";"1";"Catalogue coherent avec SharePoint."
