"id";"Title";"IDGeoZone";"CodeZone";"TypeZone";"DescriptionZone";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"12";"Europe du Nord";"ID-GEO-ZON-000011";"EUROPE-NORD";"SOUS-REGION";"Zone géographique regroupant les territoires du nord du continent européen.";"Oui";"110";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:15";"09/10/2026 17:56:15";"";""
"13";"Europe de l'Ouest";"ID-GEO-ZON-000012";"EUROPE-OUEST";"SOUS-REGION";"Zone géographique regroupant les territoires de l'ouest du continent européen.";"Oui";"120";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:15";"09/10/2026 17:56:15";"";""
"14";"Europe centrale";"ID-GEO-ZON-000013";"EUROPE-CENTRALE";"SOUS-REGION";"Zone géographique regroupant les territoires du centre du continent européen.";"Oui";"130";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:16";"09/10/2026 17:56:16";"";""
"15";"Europe de l'Est";"ID-GEO-ZON-000014";"EUROPE-EST";"SOUS-REGION";"Zone géographique regroupant les territoires de l'est du continent européen.";"Oui";"140";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:17";"09/10/2026 17:56:17";"";""
"16";"Europe du Sud";"ID-GEO-ZON-000015";"EUROPE-SUD";"SOUS-REGION";"Zone géographique regroupant les territoires du sud du continent européen.";"Oui";"150";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:18";"09/10/2026 17:56:18";"";""
"17";"Amérique du Nord";"ID-GEO-ZON-000016";"AMERIQUE-NORD";"SOUS-REGION";"Zone géographique regroupant les territoires de la partie nord du continent américain.";"Oui";"160";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:19";"09/10/2026 17:56:19";"";""
"18";"Amérique centrale";"ID-GEO-ZON-000017";"AMERIQUE-CENTRALE";"SOUS-REGION";"Zone géographique reliant l'Amérique du Nord et l'Amérique du Sud.";"Oui";"170";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:19";"09/10/2026 17:56:19";"";""
"19";"Caraïbes";"ID-GEO-ZON-000018";"CARAIBES";"SOUS-REGION";"Zone géographique regroupant les îles et territoires de la mer des Caraïbes.";"Oui";"180";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:20";"09/10/2026 17:56:20";"";""
"20";"Amérique du Sud";"ID-GEO-ZON-000019";"AMERIQUE-SUD";"SOUS-REGION";"Zone géographique regroupant les territoires de la partie sud du continent américain.";"Oui";"190";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:21";"09/10/2026 17:56:21";"";""
"21";"Australie et Nouvelle-Zélande";"ID-GEO-ZON-000020";"AUSTRALIE-NZ";"SOUS-REGION";"Zone géographique d'Océanie regroupant l'Australie et la Nouvelle-Zélande.";"Oui";"200";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:21";"09/10/2026 17:56:21";"";""
"22";"Mélanésie";"ID-GEO-ZON-000021";"MELANESIE";"SOUS-REGION";"Zone géographique d'Océanie regroupant les territoires mélanésiens.";"Oui";"210";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:24";"09/10/2026 17:56:24";"";""
"23";"Micronésie";"ID-GEO-ZON-000022";"MICRONESIE";"SOUS-REGION";"Zone géographique d'Océanie regroupant les territoires micronésiens.";"Oui";"220";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:25";"09/10/2026 17:56:25";"";""
"24";"Polynésie";"ID-GEO-ZON-000023";"POLYNESIE";"SOUS-REGION";"Zone géographique d'Océanie regroupant les territoires polynésiens.";"Oui";"230";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:25";"09/10/2026 17:56:25";"";""
"25";"Antarctique";"ID-GEO-ZON-000024";"ANTARCTIQUE";"ZONE-POLAIRE";"Zone géographique correspondant au continent antarctique et à ses territoires associés.";"Oui";"240";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:26";"09/10/2026 17:56:26";"";""
"26";"Arctique";"ID-GEO-ZON-000025";"ARCTIQUE";"ZONE-POLAIRE";"Zone géographique située autour du pôle Nord.";"Oui";"250";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:27";"09/10/2026 17:56:27";"";""
"27";"Union européenne";"ID-GEO-ZON-000026";"UNION-EUROPEENNE";"ECONOMIQUE-POLITIQUE";"Zone regroupant les États membres de l'Union européenne.";"Oui";"500";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:28";"09/10/2026 17:56:28";"";""
"28";"Zone euro";"ID-GEO-ZON-000027";"ZONE-EURO";"MONETAIRE";"Zone regroupant les territoires utilisant officiellement l'euro selon le référentiel DSE.";"Oui";"510";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:28";"09/10/2026 17:56:28";"";""
"29";"Espace Schengen";"ID-GEO-ZON-000028";"ESPACE-SCHENGEN";"CIRCULATION";"Zone regroupant les territoires participant à l'espace Schengen selon le référentiel DSE.";"Oui";"520";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:29";"09/10/2026 17:56:29";"";""
"30";"Espace économique européen";"ID-GEO-ZON-000029";"ESPACE-ECONOMIQUE-EUROPEEN";"ECONOMIQUE";"Zone regroupant les territoires participant à l'Espace économique européen.";"Oui";"530";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:30";"09/10/2026 17:56:30";"";""
"31";"Outre-mer français";"ID-GEO-ZON-000030";"OUTRE-MER-FRANCAIS";"ADMINISTRATIVE";"Zone fonctionnelle regroupant les territoires français situés hors de la France métropolitaine.";"Oui";"540";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:31";"09/10/2026 17:56:31";"";""
"32";"Zone de livraison";"ID-GEO-ZON-000031";"ZONE-LIVRAISON";"LOGISTIQUE";"Zone configurable utilisée pour organiser les règles de livraison dans DSE.";"Oui";"900";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:32";"09/10/2026 17:56:32";"";""
"33";"Zone commerciale";"ID-GEO-ZON-000032";"ZONE-COMMERCIALE";"COMMERCIALE";"Zone configurable utilisée pour organiser les activités commerciales dans DSE.";"Oui";"910";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:33";"09/10/2026 17:56:33";"";""
"34";"Zone linguistique";"ID-GEO-ZON-000033";"ZONE-LINGUISTIQUE";"LINGUISTIQUE";"Zone configurable utilisée pour regrouper les territoires selon des critères linguistiques.";"Oui";"920";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:33";"09/10/2026 17:56:33";"";""
"35";"Zone à contrôler";"ID-GEO-ZON-000034";"ZONE-A-CONTROLER";"CONTROLE";"Zone temporaire utilisée lorsqu'un rattachement géographique doit être vérifié.";"Oui";"980";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:34";"09/10/2026 17:56:34";"";""
"36";"Zone non déterminée";"ID-GEO-ZON-000035";"ZONE-NON-DETERMINEE";"INCONNU";"Zone utilisée lorsqu'aucun rattachement fiable n'est encore disponible.";"Oui";"990";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:35";"09/10/2026 17:56:35";"";""
