Titre - Galerie;ID OBJ Galerie;Code Galerie;Règne;Type Galerie;Description Galerie;Nombre Médias Conseillé;Génération IA Autorisée;Actif;Ordre Affichage;Validation DSE
Pied et lamelles;ID-OBJ-GAL-000025;PIED-LAMELLES;CHAMPIGNON;DETAIL;Pied lamelles tubes pores et autres structures visibles.;6;Oui;Oui;320;Non
Spores;ID-OBJ-GAL-000026;SPORES;CHAMPIGNON;EDUCATION;Représentations éducatives des spores et de leur dispersion.;5;Oui;Oui;330;Non
Comestibilité et toxicité;ID-OBJ-GAL-000027;COMESTIBILITE-TOXICITE;CHAMPIGNON;EDUCATION;Contenus éducatifs prudents sur la comestibilité et les risques.;4;Oui;Oui;340;Non
Aspect minéral;ID-OBJ-GAL-000028;ASPECT-MINERAL;MINERAL;STANDARD;Vue générale du minéral de la roche du métal ou de la gemme.;6;Oui;Oui;400;Non
Cristaux;ID-OBJ-GAL-000029;CRISTAUX;MINERAL;DETAIL;Formes cristallines structures et agrégats.;8;Oui;Oui;410;Non
Couleurs minérales;ID-OBJ-GAL-000030;COULEURS-MINERALES;MINERAL;DETAIL;Variations de couleurs transparence éclat et textures.;6;Oui;Oui;420;Non
Composition;ID-OBJ-GAL-000031;COMPOSITION;MINERAL;EDUCATION;Composition et structure présentées sous forme éducative.;5;Oui;Oui;430;Non
Gisements;ID-OBJ-GAL-000032;GISEMENTS;MINERAL;GEOGRAPHIE;Environnements géologiques et zones de présence.;6;Oui;Oui;440;Non
Extraction;ID-OBJ-GAL-000033;EXTRACTION;MINERAL;INDUSTRIE;Méthodes et contextes d’extraction représentés de manière informative.;6;Oui;Oui;450;Non
Utilisations minérales;ID-OBJ-GAL-000034;UTILISATIONS-MINERALES;MINERAL;USAGE;Usages industriels scientifiques artistiques ou décoratifs.;6;Oui;Oui;460;Non
Drapeaux;ID-OBJ-GAL-000035;DRAPEAUX;GEOGRAPHIE;OFFICIEL;Drapeaux et variantes d’aperçu selon les données officielles validées.;4;Oui;Oui;500;Non
Cartes;ID-OBJ-GAL-000036;CARTES;GEOGRAPHIE;CARTOGRAPHIE;Cartes générales administratives physiques et thématiques.;8;Oui;Oui;510;Non
Capitales;ID-OBJ-GAL-000037;CAPITALES;GEOGRAPHIE;VILLE;Vues représentatives des capitales et de leurs lieux emblématiques.;8;Oui;Oui;520;Non
Villes;ID-OBJ-GAL-000038;VILLES;GEOGRAPHIE;VILLE;Vues urbaines représentatives des villes.;8;Oui;Oui;530;Non
Monuments;ID-OBJ-GAL-000039;MONUMENTS;PATRIMOINE;PATRIMOINE;Monuments officiels historiques culturels ou architecturaux.;10;Oui;Oui;540;Non
Paysages;ID-OBJ-GAL-000040;PAYSAGES;GEOGRAPHIE;NATURE;Paysages naturels ruraux littoraux montagneux ou urbains.;10;Oui;Oui;550;Non
Culture;ID-OBJ-GAL-000041;CULTURE;GEOGRAPHIE;CULTURE;Patrimoine traditions arts objets et pratiques culturelles documentées.;8;Oui;Oui;560;Non
Tourisme;ID-OBJ-GAL-000042;TOURISME;GEOGRAPHIE;TOURISME;Vues destinées à la découverte touristique du sujet.;10;Oui;Oui;570;Non
Architecture;ID-OBJ-GAL-000043;ARCHITECTURE;PATRIMOINE;ARCHITECTURE;Vues générales détails structures matériaux et styles architecturaux.;10;Oui;Oui;600;Non
Histoire du patrimoine;ID-OBJ-GAL-000044;HISTOIRE-PATRIMOINE;PATRIMOINE;HISTOIRE;Chronologie construction transformations et événements liés au patrimoine.;8;Oui;Oui;610;Non
Restauration;ID-OBJ-GAL-000045;RESTAURATION;PATRIMOINE;CONSERVATION;Étapes de conservation restauration et mise en valeur.;6;Oui;Oui;620;Non
Vue astronomique;ID-OBJ-GAL-000046;VUE-ASTRONOMIQUE;ASTRONOMIE;STANDARD;Vue générale réaliste ou éducative de l’objet astronomique.;6;Oui;Oui;700;Non
Surface astronomique;ID-OBJ-GAL-000047;SURFACE-ASTRONOMIQUE;ASTRONOMIE;DETAIL;Surface relief cratères et structures visibles.;8;Oui;Oui;710;Non
Orbites;ID-OBJ-GAL-000048;ORBITES;ASTRONOMIE;EDUCATION;Orbites mouvements et relations entre objets astronomiques.;6;Oui;Oui;720;Non
Exploration spatiale;ID-OBJ-GAL-000049;EXPLORATION-SPATIALE;ASTRONOMIE;EXPLORATION;Missions sondes instruments et représentations d’exploration.;8;Oui;Oui;730;Non
Chronologie;ID-OBJ-GAL-000050;CHRONOLOGIE;HISTOIRE;EDUCATION;Frises et séquences chronologiques structurées.;8;Oui;Oui;800;Non
Événements historiques;ID-OBJ-GAL-000051;EVENEMENTS-HISTORIQUES;HISTOIRE;HISTOIRE;Représentations documentées d’événements historiques.;8;Oui;Oui;810;Non
Objets historiques;ID-OBJ-GAL-000052;OBJETS-HISTORIQUES;HISTOIRE;PATRIMOINE;Objets vêtements outils documents et artefacts historiques.;8;Oui;Oui;820;Non
Schémas;ID-OBJ-GAL-000053;SCHEMAS;EDUCATION;EDUCATION;Schémas explicatifs structurés et lisibles.;8;Oui;Oui;900;Non
Fiches pédagogiques;ID-OBJ-GAL-000054;FICHES-PEDAGOGIQUES;EDUCATION;EDUCATION;Supports synthétiques destinés à l’apprentissage.;6;Oui;Oui;910;Non
Présentations;ID-OBJ-GAL-000055;PRESENTATIONS;EDUCATION;EDUCATION;Supports visuels organisés pour une présentation ou une formation.;6;Oui;Oui;920;Non
Aperçus protégés;ID-OBJ-GAL-000056;APERCUS-PROTEGES;MEDIA;PROTECTION;Versions réduites et filigranées destinées à la consultation publique.;4;Oui;Oui;950;Non
Versions client;ID-OBJ-GAL-000057;VERSIONS-CLIENT;MEDIA;PERSONNALISATION;Versions personnalisées avec signature logo texte ou licence client.;4;Oui;Oui;960;Non
Non déterminé;ID-OBJ-GAL-000058;NON-DETERMINE;NON-DETERMINE;CONTROLE;Galerie temporaire pour les médias dont le classement reste à valider.;0;Non;Oui;990;Non
