"id";"Title";"IDGeoStatut";"CodeStatut";"TypeStatut";"DescriptionStatut";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"13";"Territoire contesté";"ID-GEO-STA-000013";"TERRITOIRE-CONTESTE";"CONTESTE";"Territoire dont la souveraineté ou le rattachement fait l’objet d’une contestation.";"Oui";"130";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:25";"09/10/2026 20:12:25";"";""
"14";"Territoire non autonome";"ID-GEO-STA-000014";"TERRITOIRE-NON-AUTONOME";"NON-AUTONOME";"Territoire ne disposant pas d’une autonomie politique complète.";"Oui";"140";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:26";"09/10/2026 20:12:26";"";""
"15";"Territoire inhabité";"ID-GEO-STA-000015";"TERRITOIRE-INHABITE";"INHABITE";"Territoire ne comportant pas de population permanente.";"Oui";"150";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:27";"09/10/2026 20:12:27";"";""
"16";"Zone maritime";"ID-GEO-STA-000016";"ZONE-MARITIME";"MARITIME";"Zone géographique principalement maritime ou océanique.";"Oui";"160";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:27";"09/10/2026 20:12:27";"";""
"17";"Commune";"ID-GEO-STA-000017";"COMMUNE";"ADMINISTRATIF";"Collectivité ou division administrative locale correspondant à une commune.";"Oui";"170";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:28";"09/10/2026 20:12:28";"";""
"18";"Commune associée";"ID-GEO-STA-000018";"COMMUNE-ASSOCIEE";"ADMINISTRATIF";"Ancienne commune ou entité locale associée à une autre commune.";"Oui";"180";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:29";"09/10/2026 20:12:29";"";""
"19";"Commune déléguée";"ID-GEO-STA-000019";"COMMUNE-DELEGUEE";"ADMINISTRATIF";"Commune conservant une représentation locale au sein d’une commune nouvelle.";"Oui";"190";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:30";"09/10/2026 20:12:30";"";""
"20";"Ancienne entité";"ID-GEO-STA-000020";"ANCIENNE-ENTITE";"HISTORIQUE";"Entité géographique ou administrative qui n’est plus active mais reste conservée pour l’historique.";"Oui";"200";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:30";"09/10/2026 20:12:30";"";""
"21";"À contrôler";"ID-GEO-STA-000021";"A-CONTROLER";"CONTROLE";"Statut temporaire attribué lorsqu’une qualification géographique doit être vérifiée.";"Oui";"900";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:33";"09/10/2026 20:12:33";"";""
"22";"Non déterminé";"ID-GEO-STA-000022";"NON-DETERMINE";"INCONNU";"Statut utilisé lorsqu’aucune qualification fiable n’est encore disponible.";"Oui";"990";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:33";"09/10/2026 20:12:33";"";""
