"id";"Title";"IDLST";"NOMLISTE";"TITREAFFICHAGE";"DESCRIPTIONDSE";"URLLISTE";"ACTIVE";"VERROUILLEE";"NBCOLONNES";"NBELEMENTS";"NBVUES";"VERSIONDSE";"DERNIERAUDIT";"DERNIEREMAJ";"PROPRIETAIRE";"EQUIPE";"COMMENTAIRES";"ACTIFDSE";"DOMAINE";"TYPELISTE";"STATUTLISTE";"VALIDER";"Modified";"Created";"Author";"Editor"
"70";"OBJ-GEO-ZONE";"922ce7a3-fdd6-4d2c-8739-208b66661ca1";"OBJ-GEO-ZONE";"OBJ-GEO-ZONE";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOZONE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOZONE/AllItems.aspx}";"Oui";"Non";"44";"35";"5";"";"09/19/2026 09:26:58";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:00";"09/17/2026 07:35:38";"";""
"71";"OBJ-JRN";"e41a1b77-39c6-402c-b5ba-6a531668f007";"OBJ-JRN";"OBJ-JRN";"Journal central DSE des événements portant sur les objets, affectations et relations : créations, modifications, suppressions logiques, validations, contrôles, anomalies, verrouillages, imports, exports et actions IA ou utilisateur.";"@{Description=/sites/Bibliotheque/Lists/OBJJRN/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRN/AllItems.aspx}";"Oui";"Non";"46";"1210";"1";"";"09/19/2026 09:27:00";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:03";"09/17/2026 07:35:38";"";""
"72";"OBJ-JRN-GEO";"f364ca33-23fd-4dc3-b70c-df71b2ab2cca";"OBJ-JRN-GEO";"OBJ-JRN-GEO";"";"@{Description=/sites/Bibliotheque/Lists/OBJJRNGEO/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRNGEO/AllItems.aspx}";"Oui";"Non";"50";"74";"1";"";"09/19/2026 09:27:08";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:10";"09/17/2026 07:35:39";"";""
"73";"OBJ-MODULE";"db516613-4e92-4285-a602-c60a50f5c58f";"OBJ-MODULE";"OBJ-MODULE";"";"@{Description=/sites/Bibliotheque/Lists/OBJMODULE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJMODULE/AllItems.aspx}";"Oui";"Non";"25";"0";"1";"";"09/19/2026 09:27:13";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:16";"09/17/2026 07:35:40";"";""
"74";"OBJ-ORG";"3150ccc9-4e91-4355-94db-7b3c2f61c942";"OBJ-ORG";"OBJ-ORG";"";"@{Description=/sites/Bibliotheque/Lists/OBJORG/01  Organisations.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJORG/01  Organisations.aspx}";"Oui";"Non";"48";"4";"10";"";"09/19/2026 09:27:16";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:18";"09/17/2026 07:35:41";"";""
"75";"OBJ-ORG-COMPTE";"517854dd-e469-46aa-a826-6d35d47a486e";"OBJ-ORG-COMPTE";"OBJ-ORG-COMPTE";"";"@{Description=/sites/Bibliotheque/Lists/OBJORGCOMPTE/01  Comptes.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJORGCOMPTE/01  Comptes.aspx}";"Oui";"Non";"41";"4";"4";"";"09/19/2026 09:27:18";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:21";"09/17/2026 07:35:42";"";""
"76";"OBJ-ORG-CONTACT";"5e26176e-5f9f-4f60-a829-c1f135440284";"OBJ-ORG-CONTACT";"OBJ-ORG-CONTACT";"";"@{Description=/sites/Bibliotheque/Lists/OBJORGCONTACT/01  Contacts.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJORGCONTACT/01  Contacts.aspx}";"Oui";"Non";"45";"2";"4";"";"09/19/2026 09:27:21";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:24";"09/17/2026 07:35:42";"";""
"77";"OBJ-PWS";"bfcc99a5-783a-4e1e-9fd3-857a6ec1e5c5";"OBJ-PWS";"OBJ-PWS";"";"@{Description=/sites/Bibliotheque/Lists/OBJPWS/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJPWS/AllItems.aspx}";"Oui";"Non";"25";"0";"1";"";"09/19/2026 09:27:35";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:37";"09/17/2026 07:35:43";"";""
"78";"OBJ-REF";"74f24290-ab7a-44e5-b0fc-ddcc0e015238";"OBJ-REF";"OBJ-REF";"";"@{Description=/sites/Bibliotheque/Lists/OBJREF/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREF/AllItems.aspx}";"Oui";"Non";"36";"284";"7";"";"09/19/2026 09:27:37";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:40";"09/17/2026 07:35:44";"";""
"79";"OBJ-REL";"e9161ccf-859d-4d49-b245-ac6e6cd0271b";"OBJ-REL";"OBJ-REL";"Relations entre objets DSE : OBJ source → type de relation → OBJ cible.";"@{Description=/sites/Bibliotheque/Lists/OBJREL/Toutes les relations.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJREL/Toutes les relations.aspx}";"Oui";"Non";"35";"32";"2";"";"09/19/2026 09:27:40";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:42";"09/17/2026 07:35:45";"";""
"80";"OBJ-SCR";"f6a2b2fa-3d7b-41bc-a40e-fbcf9d123799";"OBJ-SCR";"OBJ-SCR";"Catalogue officiel des scripts DSE.";"@{Description=/sites/Bibliotheque/Lists/OBJSCR; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR}";"Non";"Non";"";"";"";"";"";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:28:22";"09/17/2026 07:35:46";"";""
"81";"OBJ-SITE";"d2c25a90-1059-4f56-842c-b72cdbc34b1e";"OBJ-SITE";"OBJ-SITE";"";"@{Description=/sites/Bibliotheque/Lists/OBJSITE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSITE/AllItems.aspx}";"Oui";"Non";"25";"0";"1";"";"09/19/2026 09:28:08";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:28:11";"09/17/2026 07:35:46";"";""
"82";"OBJ-STATUT";"2f0fb65c-4363-47af-bbb2-57d95994e79d";"OBJ-STATUT";"OBJ-STATUT";"";"@{Description=/sites/Bibliotheque/Lists/OBJSTATUT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSTATUT/AllItems.aspx}";"Oui";"Non";"25";"0";"1";"";"09/19/2026 09:28:11";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:28:13";"09/17/2026 07:35:47";"";""
"83";"OBJ-AUD";"";"OBJ-AUD";"OBJ-AUD";"";"@{Description=/sites/Bibliotheque/Lists/OBJAUD/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJAUD/AllItems.aspx}";"Oui";"Non";"33";"0";"1";"";"09/19/2026 09:26:06";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:08";"09/19/2026 06:32:57";"";""
"84";"OBJ-AUT";"";"OBJ-AUT";"OBJ-AUT";"";"@{Description=/sites/Bibliotheque/Lists/OBJAUT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJAUT/AllItems.aspx}";"Oui";"Non";"39";"5";"1";"";"09/19/2026 09:26:11";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:13";"09/19/2026 06:33:02";"";""
"85";"OBJ-DEP";"";"OBJ-DEP";"OBJ-DEP";"";"@{Description=/sites/Bibliotheque/Lists/OBJDEP/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJDEP/AllItems.aspx}";"Oui";"Non";"31";"0";"1";"";"09/19/2026 09:26:20";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:23";"09/19/2026 06:33:05";"";""
"86";"OBJ-JRN-10";"";"OBJ-JRN-10";"OBJ-JRN-10";"";"@{Description=/sites/Bibliotheque/Lists/OBJJRN10/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRN10/AllItems.aspx}";"Oui";"Non";"35";"3";"1";"";"09/19/2026 09:27:03";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:05";"09/19/2026 06:33:43";"";""
"87";"OBJ-JRN-AUT";"";"OBJ-JRN-AUT";"OBJ-JRN-AUT";"";"@{Description=/sites/Bibliotheque/Lists/OBJJRNAUT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRNAUT/AllItems.aspx}";"Oui";"Non";"36";"8";"1";"";"09/19/2026 09:27:05";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:08";"09/19/2026 06:33:46";"";""
"88";"OBJ-LST";"";"OBJ-LST";"OBJ-LST";"";"@{Description=/sites/Bibliotheque/Lists/OBJLST/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJLST/AllItems.aspx}";"Oui";"Non";"45";"51";"8";"";"09/19/2026 09:27:11";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:13";"09/19/2026 06:33:50";"";""
"89";"OBJ-PAG-PPB";"";"OBJ-PAG-PPB";"OBJ-PAG-PPB";"";"@{Description=/sites/Bibliotheque/Lists/OBJPAGPPB/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJPAGPPB/AllItems.aspx}";"Oui";"Non";"38";"0";"1";"";"09/19/2026 09:27:24";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:26";"09/19/2026 06:34:02";"";""
"90";"OBJ-PAG-PPW";"";"OBJ-PAG-PPW";"OBJ-PAG-PPW";"";"@{Description=/sites/Bibliotheque/Lists/OBJPAGPPW/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJPAGPPW/AllItems.aspx}";"Oui";"Non";"38";"0";"1";"";"09/19/2026 09:27:27";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:29";"09/19/2026 06:34:05";"";""
"91";"OBJ-PAG-SHAR";"";"OBJ-PAG-SHAR";"OBJ-PAG-SHAR";"";"@{Description=/sites/Bibliotheque/Lists/OBJPAGSHAR/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJPAGSHAR/AllItems.aspx}";"Oui";"Non";"38";"49";"1";"";"09/19/2026 09:27:29";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:32";"09/19/2026 06:34:07";"";""
"92";"OBJ-PAR";"";"OBJ-PAR";"OBJ-PAR";"";"@{Description=/sites/Bibliotheque/Lists/OBJPAR/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJPAR/AllItems.aspx}";"Oui";"Non";"31";"0";"1";"";"09/19/2026 09:27:32";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:35";"09/19/2026 06:34:09";"";""
"93";"OBJ-SCR-00";"";"OBJ-SCR-00";"OBJ-SCR-00";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR00/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR00/AllItems.aspx}";"Oui";"Non";"39";"0";"1";"";"09/19/2026 09:27:42";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:45";"09/19/2026 06:34:19";"";""
"94";"OBJ-SCR-10";"";"OBJ-SCR-10";"OBJ-SCR-10";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR10/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR10/AllItems.aspx}";"Oui";"Non";"43";"2";"1";"";"09/19/2026 09:27:45";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:47";"09/19/2026 06:34:21";"";""
"95";"OBJ-SCR-20";"";"OBJ-SCR-20";"OBJ-SCR-20";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR20/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR20/AllItems.aspx}";"Oui";"Non";"38";"0";"1";"";"09/19/2026 09:27:47";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:50";"09/19/2026 06:34:24";"";""
"96";"OBJ-SCR-30";"";"OBJ-SCR-30";"OBJ-SCR-30";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR30/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR30/AllItems.aspx}";"Oui";"Non";"38";"0";"1";"";"09/19/2026 09:27:50";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:52";"09/19/2026 06:34:26";"";""
"97";"OBJ-SCR-40";"";"OBJ-SCR-40";"OBJ-SCR-40";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR40/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR40/AllItems.aspx}";"Oui";"Non";"38";"4";"1";"";"09/19/2026 09:27:53";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:55";"09/19/2026 06:34:29";"";""
"98";"OBJ-SCR-50";"";"OBJ-SCR-50";"OBJ-SCR-50";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR50/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR50/AllItems.aspx}";"Oui";"Non";"38";"0";"1";"";"09/19/2026 09:27:55";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:27:58";"09/19/2026 06:34:31";"";""
"99";"OBJ-SCR-60";"";"OBJ-SCR-60";"OBJ-SCR-60";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR60/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR60/AllItems.aspx}";"Oui";"Non";"38";"0";"1";"";"09/19/2026 09:27:58";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:28:00";"09/19/2026 06:34:33";"";""
"100";"OBJ-SCR-70";"";"OBJ-SCR-70";"OBJ-SCR-70";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR70/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR70/AllItems.aspx}";"Oui";"Non";"55";"79";"1";"";"09/19/2026 09:28:00";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:28:04";"09/19/2026 06:34:38";"";""
"101";"OBJ-SCR-80";"";"OBJ-SCR-80";"OBJ-SCR-80";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR80/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR80/AllItems.aspx}";"Oui";"Non";"38";"0";"1";"";"09/19/2026 09:28:03";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:28:05";"09/19/2026 06:34:40";"";""
"102";"OBJ-SCR-90";"";"OBJ-SCR-90";"OBJ-SCR-90";"";"@{Description=/sites/Bibliotheque/Lists/OBJSCR90/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJSCR90/AllItems.aspx}";"Oui";"Non";"38";"2";"1";"";"09/19/2026 09:28:06";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:28:08";"09/19/2026 06:34:43";"";""
"103";"OBJ-VAL";"";"OBJ-VAL";"OBJ-VAL";"";"@{Description=/sites/Bibliotheque/Lists/OBJVAL/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJVAL/AllItems.aspx}";"Oui";"Non";"33";"0";"1";"";"09/19/2026 09:28:16";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:28:18";"09/19/2026 06:34:50";"";""
"104";"OBJ-WKF";"";"OBJ-WKF";"OBJ-WKF";"";"@{Description=/sites/Bibliotheque/Lists/OBJWKF/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJWKF/AllItems.aspx}";"Oui";"Non";"31";"0";"1";"";"09/19/2026 09:28:18";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:28:21";"09/19/2026 06:34:52";"";""
"105";"OBJ-ACHAT";"";"OBJ-ACHAT";"OBJ-ACHAT";"";"@{Description=/sites/Bibliotheque/Lists/OBJACHAT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJACHAT/AllItems.aspx}";"Oui";"Non";"40";"1";"1";"";"09/19/2026 09:26:01";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:04";"09/19/2026 07:26:04";"";""
"106";"OBJ-BIB-SHAR";"";"OBJ-BIB-SHAR";"OBJ-BIB-SHAR";"";"@{Description=/sites/Bibliotheque/Lists/OBJBIBSHAR/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJBIBSHAR/AllItems.aspx}";"Oui";"Non";"38";"11";"1";"";"09/19/2026 09:26:13";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:16";"09/19/2026 07:26:16";"";""
"107";"OBJ-CATALOGUE";"";"OBJ-CATALOGUE";"OBJ-CATALOGUE";"";"@{Description=/sites/Bibliotheque/Lists/OBJCATALOGUE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJCATALOGUE/AllItems.aspx}";"Oui";"Non";"40";"1";"1";"";"09/19/2026 09:26:16";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:18";"09/19/2026 07:26:18";"";""
"108";"OBJ-CLIENT";"";"OBJ-CLIENT";"OBJ-CLIENT";"";"@{Description=/sites/Bibliotheque/Lists/OBJCLIENT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJCLIENT/AllItems.aspx}";"Oui";"Non";"40";"1";"1";"";"09/19/2026 09:26:18";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:20";"09/19/2026 07:26:20";"";""
