"id";"Title";"OBJ";"IDACT";"IDREL";"DATEEVENEMENT";"ACTION";"ANCIENNEVALEUR";"NOUVELLEVALEUR";"ACTEUR";"ANOMALIEDETECTEE";"CONTROLEPASCARA";"VERROUILLE";"NOTES";"IDJRN";"OBJREF";"CODE";"NOM";"STATUT";"ANOMALIE";"SCRIPTSOURCE";"TYPEEVENEMENTREF";"SOURCEREF";"RESULTATREF";"Modified";"Created";"Author";"Editor"
"11";"DSE-APP-003-20260907112352";"";"";"";"";"Validation officielle portail DSE hiérarchique";"";"";"";"Non";"Non";"Non";"Validation officielle DSE-APP-003.

Le portail DSE devient hiérarchique.

Structure cible :

Super Administrateur
↓
Clients
↓
Clients des clients
↓
Clients des clients des clients
↓
...

Les menus, pages, objets, applications et données visibles
s'adaptent automatiquement à l'utilisateur connecté.

Un parent voit ses enfants.

Un enfant ne voit pas son parent.

Un enfant ne voit pas les autres enfants.

OBJ reste la liste métier principale.

REF-00 à REF-90 restent les référentiels officiels.

OBJ-JRN reste la mémoire historique officielle.

Décision validée officiellement par Pascal Zimmer.";"";"JOURNAL - TYPEEVENEMENT - VALIDATION_ARCHITECTURE | JOURNAL - SOURCE - Pascal ZIMMER | JOURNAL - RESULTAT - VALIDE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:45";"09/07/2026 09:23:54";"";""
"12";"DSE-APP-003-20260907113119";"";"";"";"";"Validation officielle portail DSE hiérarchique";"";"";"";"Non";"Non";"Non";"Validation officielle DSE-APP-003.

Le portail DSE devient hiérarchique.

Structure cible :

Super Administrateur
↓
Clients
↓
Clients des clients
↓
Clients des clients des clients
↓
...

Les menus, pages, objets, applications et données visibles
s'adaptent automatiquement à l'utilisateur connecté.

Un parent voit ses enfants.

Un enfant ne voit pas son parent.

Un enfant ne voit pas les autres enfants.

OBJ reste la liste métier principale.

REF-00 à REF-90 restent les référentiels officiels.

OBJ-JRN reste la mémoire historique officielle.

Décision validée officiellement par Pascal Zimmer.";"";"JOURNAL - TYPEEVENEMENT - VALIDATION_ARCHITECTURE | JOURNAL - SOURCE - Pascal ZIMMER | JOURNAL - RESULTAT - VALIDE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:47";"09/07/2026 09:31:21";"";""
"13";"DSE-REL-001-DEBUT";"";"";"";"";"Validation architecture dépendances DSE";"";"";"";"Non";"Non";"Non";"Début d'enregistrement de la décision DSE-REL-001.";"";"JOURNAL - TYPEEVENEMENT - DEBUT | JOURNAL - SOURCE - Pascal ZIMMER | JOURNAL - RESULTAT - DEMARRAGE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:48";"09/07/2026 09:44:18";"";""
"14";"DSE-REL-001";"";"";"";"";"Validation officielle du modèle OBJ-REL";"";"";"";"Non";"Non";"Non";"OBJ = registre principal des objets.

OBJ-ACT = responsabilités et actions.

OBJ-REL = dépendances officielles entre objets.

OBJ-JRN = mémoire historique officielle.

OBJ-REL constitue la source officielle d'analyse
des impacts et dépendances pour Pasc ARA IA.

Avant toute action sensible :

- Désactivation
- Archivage
- Fusion
- Remplacement
- Modification majeure

une analyse OBJ-REL est obligatoire.

Workflow obligatoire :

Demande
↓
Analyse OBJ-REL
↓
Analyse impact Pasc ARA IA
↓
Rapport impact
↓
Validation humaine
↓
Action éventuelle
↓
Journalisation OBJ-JRN
↓
FIN
↓
TERMINÉ

Aucun objet ne peut être désactivé
sans contrôle préalable des dépendances.

OBJ-REL devient la source officielle
des dépendances DSE.";"";"JOURNAL - TYPEEVENEMENT - VALIDATION_ARCHITECTURE | JOURNAL - SOURCE - Pascal ZIMMER | JOURNAL - RESULTAT - VALIDE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:50";"09/07/2026 09:44:19";"";""
"15";"DSE-REL-001-FIN";"";"";"";"";"Validation architecture dépendances DSE";"";"";"";"Non";"Non";"Non";"Décision DSE-REL-001 enregistrée avec succès.";"";"JOURNAL - TYPEEVENEMENT - FIN | JOURNAL - SOURCE - Pascal ZIMMER | JOURNAL - RESULTAT - TERMINE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:51";"09/07/2026 09:44:20";"";""
"16";"DSE-JRN-004-20260907-114846-DEBUT";"";"";"";"";"Enregistrement de la regle de fin automatique";"";"";"";"Non";"Non";"Non";"Debut de l'enregistrement officiel de la regle DSE-JRN-004.";"";"JOURNAL - TYPEEVENEMENT - DEBUT | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - DEMARRAGE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:53";"09/07/2026 09:48:48";"";""
"17";"DSE-JRN-004-20260907-114846-VALIDATION";"";"";"";"";"Validation de la fin automatique des scripts DSE";"";"";"";"Non";"Non";"Non";"Validation officielle DSE-JRN-004.

Tout script DSE doit obligatoirement :

1. Journaliser son DEBUT dans OBJ-JRN.
2. Journaliser chaque action executee.
3. Journaliser chaque modification.
4. Journaliser chaque erreur.
5. Journaliser chaque correction.
6. Afficher une barre de progression lorsque cela est necessaire.
7. Journaliser une ligne FIN dans OBJ-JRN.
8. Afficher clairement TERMINÉ a l'ecran.
9. Rendre automatiquement la main a PowerShell.
10. Ne jamais necessiter Ctrl+C lorsque le traitement est termine normalement.

Resultat normal attendu :

FIN enregistre dans OBJ-JRN
+
TERMINÉ affiche a l'ecran
+
retour automatique au prompt PowerShell PS>

Si la ligne FIN est absente, le traitement doit etre controle.

Cette regle s'applique a tous les futurs scripts
de DemainSite Ecosysteme.";"";"JOURNAL - TYPEEVENEMENT - VALIDATION_ARCHITECTURE | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - VALIDE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:54";"09/07/2026 09:48:49";"";""
"18";"DSE-JRN-004-20260907-114846-FIN";"";"";"";"";"Enregistrement de la regle de fin automatique";"";"";"";"Non";"Non";"Non";"Regle DSE-JRN-004 enregistree. Le script est arrive normalement a sa fin.";"";"JOURNAL - TYPEEVENEMENT - FIN | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - TERMINE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:55";"09/07/2026 09:48:49";"";""
"19";"DSE-JRN-004-20260907-114846-ERREUR";"";"";"";"";"Enregistrement de la regle de fin automatique";"";"";"";"Non";"Non";"Non";"A parameter cannot be found that matches parameter name 'Identity'.";"";"JOURNAL - TYPEEVENEMENT - ERREUR | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - ECHEC";"";"";"";"";"";"";"";"";"09/17/2026 13:40:58";"09/07/2026 09:48:50";"";""
"20";"DSE-JRN-004-20260907-114846-FIN-ERREUR";"";"";"";"";"Enregistrement de la regle de fin automatique";"";"";"";"Non";"Non";"Non";"Le traitement s'est termine avec une erreur : A parameter cannot be found that matches parameter name 'Identity'.";"";"JOURNAL - TYPEEVENEMENT - FIN | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - TERMINE_AVEC_ERREUR";"";"";"";"";"";"";"";"";"09/17/2026 13:40:58";"09/07/2026 09:48:51";"";""
"21";"DSE-JRN-004-CORRECTION-20260907-115000-DEBUT";"";"";"";"";"Correction du contrôle DSE-JRN-004";"";"";"";"Non";"Non";"Non";"Début de la correction après erreur du paramètre Identity.";"";"JOURNAL - TYPEEVENEMENT - DEBUT | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - DEMARRAGE";"";"";"";"";"";"";"";"";"09/17/2026 13:41:00";"09/07/2026 09:50:02";"";""
"22";"DSE-JRN-004-CORRECTION-20260907-115000-CORRECTION";"";"";"";"";"Remplacement du contrôle Get-PnPListItem";"Get-PnPListItem -Identity";"Lecture complète puis filtrage par ID";"";"Non";"Non";"Non";"Le paramètre Identity n'est pas disponible dans la version PnP PowerShell utilisée. Le contrôle est remplacé par une lecture de la liste et un filtrage local.";"";"JOURNAL - TYPEEVENEMENT - CORRECTION | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:01";"09/07/2026 09:50:03";"";""
"23";"DSE-JRN-004-CORRECTION-20260907-115000-FIN";"";"";"";"";"Correction du contrôle DSE-JRN-004";"";"";"";"Non";"Non";"Non";"Correction appliquée et résultat vérifié. Le script est arrivé normalement à sa fin.";"";"JOURNAL - TYPEEVENEMENT - FIN | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - TERMINE";"";"";"";"";"";"";"";"";"09/17/2026 13:41:03";"09/07/2026 09:50:05";"";""
"24";"DSE-JRN-004-CORRECTION-20260907-115015-DEBUT";"";"";"";"";"Correction du contrôle DSE-JRN-004";"";"";"";"Non";"Non";"Non";"Début de la correction après erreur du paramètre Identity.";"";"JOURNAL - TYPEEVENEMENT - DEBUT | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - DEMARRAGE";"";"";"";"";"";"";"";"";"09/17/2026 13:41:04";"09/07/2026 09:50:17";"";""
"25";"DSE-JRN-004-CORRECTION-20260907-115015-CORRECTION";"";"";"";"";"Remplacement du contrôle Get-PnPListItem";"Get-PnPListItem -Identity";"Lecture complète puis filtrage par ID";"";"Non";"Non";"Non";"Le paramètre Identity n'est pas disponible dans la version PnP PowerShell utilisée. Le contrôle est remplacé par une lecture de la liste et un filtrage local.";"";"JOURNAL - TYPEEVENEMENT - CORRECTION | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:06";"09/07/2026 09:50:18";"";""
"26";"DSE-JRN-004-CORRECTION-20260907-115015-FIN";"";"";"";"";"Correction du contrôle DSE-JRN-004";"";"";"";"Non";"Non";"Non";"Correction appliquée et résultat vérifié. Le script est arrivé normalement à sa fin.";"";"JOURNAL - TYPEEVENEMENT - FIN | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - TERMINE";"";"";"";"";"";"";"";"";"09/17/2026 13:41:07";"09/07/2026 09:50:19";"";""
"27";"JRN-20260907120404899-588";"";"";"";"07/09/2026 12:04:04";"Creation et mise a jour des vues OBJ";"";"";"";"Non";"Non";"Non";"Début du traitement des vues destinées à APP 01. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120404899-588";"JOURNAL - TYPEEVENEMENT - DEBUT | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - DEMARRAGE";"";"";"";"";"";"";"";"";"09/17/2026 13:41:09";"09/07/2026 10:04:07";"";""
"28";"JRN-20260907120406474-163";"";"";"";"07/09/2026 12:04:06";"Controle connexion SharePoint";"";"";"";"Non";"Non";"Non";"Connexion confirmée sur https://blogssite.sharepoint.com/sites/Bibliotheque. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120406474-163";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:10";"09/07/2026 10:04:08";"";""
"29";"JRN-20260907120409044-140";"";"";"";"07/09/2026 12:04:09";"Controle des listes requises";"";"";"";"Non";"Non";"Non";"Les listes OBJ et OBJ-JRN sont disponibles. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120409044-140";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:12";"09/07/2026 10:04:11";"";""
"30";"JRN-20260907120410827-888";"";"";"";"07/09/2026 12:04:10";"Controle colonnes OBJ";"";"";"";"Non";"Non";"Non";"Colonnes non trouvées et ignorées : ACTIF. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120410827-888";"JOURNAL - TYPEEVENEMENT - ALERTE | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - COLONNES_IGNOREES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:13";"09/07/2026 10:04:13";"";""
"31";"JRN-20260907120412626-815";"";"";"";"07/09/2026 12:04:12";"Resolution des valeurs REF-00";"";"";"";"Non";"Non";"Non";"APPLICATION=17, COMPTE=2, SITE=6. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120412626-815";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:15";"09/07/2026 10:04:14";"";""
"32";"JRN-20260907120414975-783";"";"";"";"07/09/2026 12:04:14";"Creation vue SharePoint";"";"OBJ - Tous";"";"Non";"Non";"Non";"Vue créée dans la liste OBJ. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120414975-783";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:16";"09/07/2026 10:04:17";"";""
"33";"JRN-20260907120417317-551";"";"";"";"07/09/2026 12:04:17";"Creation vue SharePoint";"";"OBJ - Actifs";"";"Non";"Non";"Non";"Vue créée dans la liste OBJ. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120417317-551";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:18";"09/07/2026 10:04:19";"";""
"34";"JRN-20260907120419469-780";"";"";"";"07/09/2026 12:04:19";"Creation vue SharePoint";"";"OBJ - Inactifs";"";"Non";"Non";"Non";"Vue créée dans la liste OBJ. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120419469-780";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:19";"09/07/2026 10:04:22";"";""
"35";"JRN-20260907120421652-615";"";"";"";"07/09/2026 12:04:21";"Creation vue SharePoint";"";"OBJ - À contrôler";"";"Non";"Non";"Non";"Vue créée dans la liste OBJ. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120421652-615";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:21";"09/07/2026 10:04:23";"";""
"36";"JRN-20260907120423762-309";"";"";"";"07/09/2026 12:04:23";"Creation vue SharePoint";"";"OBJ - Applications";"";"Non";"Non";"Non";"Vue créée dans la liste OBJ. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120423762-309";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:22";"09/07/2026 10:04:25";"";""
"37";"JRN-20260907120426264-220";"";"";"";"07/09/2026 12:04:26";"Creation vue SharePoint";"";"OBJ - Comptes";"";"Non";"Non";"Non";"Vue créée dans la liste OBJ. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120426264-220";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:24";"09/07/2026 10:04:28";"";""
"38";"JRN-20260907120428868-162";"";"";"";"07/09/2026 12:04:28";"Creation vue SharePoint";"";"OBJ - Sites";"";"Non";"Non";"Non";"Vue créée dans la liste OBJ. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120428868-162";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:41:25";"09/07/2026 10:04:31";"";""
"39";"JRN-20260907120430164-375";"";"";"";"07/09/2026 12:04:30";"Analyse des vues multi-listes";"";"";"";"Non";"Non";"Non";"OBJ - Sans relations, OBJ - Avec dépendances et OBJ - Journalisés seront calculées dans APP 01 avec OBJ-REL et OBJ-JRN. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120430164-375";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - REPORTE_APP_01";"";"";"";"";"";"";"";"";"09/17/2026 13:41:27";"09/07/2026 10:04:32";"";""
"40";"JRN-20260907120431880-917";"";"";"";"07/09/2026 12:04:31";"Verification finale des vues OBJ";"";"";"";"Non";"Non";"Non";"Créations=7, mises à jour=0, ignorées=0, erreurs=0. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120431880-917";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - CONFORME";"";"";"";"";"";"";"";"";"09/17/2026 13:41:29";"09/07/2026 10:04:33";"";""
"41";"JRN-20260907120432862-201";"";"";"";"07/09/2026 12:04:32";"Creation et mise a jour des vues OBJ";"";"";"";"Non";"Non";"Non";"Traitement terminé. Créations=7, mises à jour=0, ignorées=0, erreurs=0. | Execution : DSE-VUES-OBJ-20260907-120403";"JRN-20260907120432862-201";"JOURNAL - TYPEEVENEMENT - FIN | JOURNAL - SOURCE - PowerShell DSE - Pascal ZIMMER | JOURNAL - RESULTAT - TERMINE";"";"";"";"";"";"";"";"";"09/17/2026 13:41:30";"09/07/2026 10:04:34";"";""
"42";"JRN-20260907120555371-143";"";"";"";"";"Contrôle des vues OBJ après erreur de syntaxe";"";"";"";"Non";"Non";"Non";"Début du contrôle. Aucune vue ne sera créée, modifiée ou supprimée. | Execution : DSE-CONTROLE-VUES-20260907-120555";"JRN-20260907120555371-143";"JOURNAL - TYPEEVENEMENT - DEBUT | JOURNAL - SOURCE - DSE-CONTROLE-VUES-OBJ.ps1 | JOURNAL - RESULTAT - DEMARRAGE";"";"";"";"";"";"";"";"";"09/17/2026 13:41:32";"09/07/2026 10:05:57";"";""
"43";"JRN-20260907120556888-323";"";"";"";"";"Contrôle de la vue OBJ - Tous";"";"";"";"Non";"Non";"Non";"Vue présente une seule fois. | Execution : DSE-CONTROLE-VUES-20260907-120555";"JRN-20260907120556888-323";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - DSE-CONTROLE-VUES-OBJ.ps1 | JOURNAL - RESULTAT - CONFORME";"";"";"";"";"";"";"";"";"09/17/2026 13:41:33";"09/07/2026 10:05:58";"";""
"44";"JRN-20260907120557596-227";"";"";"";"";"Contrôle de la vue OBJ - Actifs";"";"";"";"Non";"Non";"Non";"Vue présente une seule fois. | Execution : DSE-CONTROLE-VUES-20260907-120555";"JRN-20260907120557596-227";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - DSE-CONTROLE-VUES-OBJ.ps1 | JOURNAL - RESULTAT - CONFORME";"";"";"";"";"";"";"";"";"09/17/2026 13:41:35";"09/07/2026 10:05:59";"";""
"45";"JRN-20260907120558345-647";"";"";"";"";"Contrôle de la vue OBJ - Inactifs";"";"";"";"Non";"Non";"Non";"Vue présente une seule fois. | Execution : DSE-CONTROLE-VUES-20260907-120555";"JRN-20260907120558345-647";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - DSE-CONTROLE-VUES-OBJ.ps1 | JOURNAL - RESULTAT - CONFORME";"";"";"";"";"";"";"";"";"09/17/2026 13:41:36";"09/07/2026 10:06:00";"";""
"46";"JRN-20260907120559104-952";"";"";"";"";"Contrôle de la vue OBJ - À contrôler";"";"";"";"Non";"Non";"Non";"Vue présente une seule fois. | Execution : DSE-CONTROLE-VUES-20260907-120555";"JRN-20260907120559104-952";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - DSE-CONTROLE-VUES-OBJ.ps1 | JOURNAL - RESULTAT - CONFORME";"";"";"";"";"";"";"";"";"09/17/2026 13:41:38";"09/07/2026 10:06:00";"";""
"47";"JRN-20260907120559932-378";"";"";"";"";"Contrôle de la vue OBJ - Applications";"";"";"";"Non";"Non";"Non";"Vue présente une seule fois. | Execution : DSE-CONTROLE-VUES-20260907-120555";"JRN-20260907120559932-378";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - DSE-CONTROLE-VUES-OBJ.ps1 | JOURNAL - RESULTAT - CONFORME";"";"";"";"";"";"";"";"";"09/17/2026 13:41:39";"09/07/2026 10:06:01";"";""
"48";"JRN-20260907120600659-791";"";"";"";"";"Contrôle de la vue OBJ - Comptes";"";"";"";"Non";"Non";"Non";"Vue présente une seule fois. | Execution : DSE-CONTROLE-VUES-20260907-120555";"JRN-20260907120600659-791";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - DSE-CONTROLE-VUES-OBJ.ps1 | JOURNAL - RESULTAT - CONFORME";"";"";"";"";"";"";"";"";"09/17/2026 13:41:41";"09/07/2026 10:06:02";"";""
"49";"JRN-20260907120601393-570";"";"";"";"";"Contrôle de la vue OBJ - Sites";"";"";"";"Non";"Non";"Non";"Vue présente une seule fois. | Execution : DSE-CONTROLE-VUES-20260907-120555";"JRN-20260907120601393-570";"JOURNAL - TYPEEVENEMENT - CONTROLE | JOURNAL - SOURCE - DSE-CONTROLE-VUES-OBJ.ps1 | JOURNAL - RESULTAT - CONFORME";"";"";"";"";"";"";"";"";"09/17/2026 13:41:42";"09/07/2026 10:06:03";"";""
