"id";"Title";"IDGeoVille";"CodeVille";"CodePostal";"Latitude";"Longitude";"DescriptionVille";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"Modified";"OBJREF";"DepartementGeo";"Created";"Author";"Editor"
"13";"Arandas";"01013";"01013";"01230";"45.897";"5.486";"";"Oui";"12";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:06";"";"";"09/10/2026 09:08:06";"";""
"14";"Arbent";"01014";"01014";"01100";"46.295";"5.682";"";"Oui";"13";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:06";"";"";"09/10/2026 09:08:06";"";""
"15";"Arboys en Bugey";"01015";"01015";"01300";"45.729";"5.65";"";"Oui";"14";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:07";"";"";"09/10/2026 09:08:07";"";""
"16";"Arbigny";"01016";"01016";"01190";"46.47";"4.971";"";"Oui";"15";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:08";"";"";"09/10/2026 09:08:08";"";""
"17";"Argis";"01017";"01017";"01230";"45.934";"5.49";"";"Oui";"16";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:09";"";"";"09/10/2026 09:08:09";"";""
"18";"Armix";"01019";"01019";"01510";"45.849";"5.586";"";"Oui";"17";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:10";"";"";"09/10/2026 09:08:10";"";""
"19";"Ars-sur-Formans";"01021";"01021";"01480";"45.993";"4.822";"";"Oui";"18";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:10";"";"";"09/10/2026 09:08:10";"";""
"20";"Artemare";"01022";"01022";"01510";"45.875";"5.693";"";"Oui";"19";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:11";"";"";"09/10/2026 09:08:11";"";""
"21";"Asnières-sur-Saône";"01023";"01023";"01570";"46.383";"4.883";"";"Oui";"20";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:12";"";"";"09/10/2026 09:08:12";"";""
"22";"Attignat";"01024";"01024";"01340";"46.29";"5.159";"";"Oui";"21";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:13";"";"";"09/10/2026 09:08:13";"";""
"23";"Bâgé-Dommartin";"01025";"01025";"01380";"46.317";"4.947";"";"Oui";"22";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:14";"";"";"09/10/2026 09:08:14";"";""
"24";"Bâgé-le-Châtel";"01026";"01026";"01380";"46.308";"4.929";"";"Oui";"23";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:14";"";"";"09/10/2026 09:08:14";"";""
"25";"Balan";"01027";"01027";"01360";"45.833";"5.097";"";"Oui";"24";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:15";"";"";"09/10/2026 09:08:15";"";""
"26";"Baneins";"01028";"01028";"01990";"46.111";"4.901";"";"Oui";"25";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:16";"";"";"09/10/2026 09:08:16";"";""
"27";"Beaupont";"01029";"01029";"01270";"46.41";"5.265";"";"Oui";"26";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:17";"";"";"09/10/2026 09:08:17";"";""
"28";"Beauregard";"01030";"01030";"01480";"46.003";"4.751";"";"Oui";"27";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:17";"";"";"09/10/2026 09:08:17";"";""
"29";"Bellignat";"01031";"01031";"01100";"46.242";"5.629";"";"Oui";"28";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:18";"";"";"09/10/2026 09:08:18";"";""
"30";"Béligneux";"01032";"01032";"01360";"45.852";"5.129";"";"Oui";"29";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:19";"";"";"09/10/2026 09:08:19";"";""
"31";"Valserhône";"01033";"01033";"01200";"46.108";"5.826";"";"Oui";"30";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:20";"";"";"09/10/2026 09:08:20";"";""
"32";"Belley";"01034";"01034";"01300";"45.761";"5.686";"";"Oui";"31";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:21";"";"";"09/10/2026 09:08:21";"";""
"33";"Belleydoux";"01035";"01035";"01130";"46.253";"5.777";"";"Oui";"32";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:21";"";"";"09/10/2026 09:08:21";"";""
"34";"Valromey-sur-Séran";"01036";"01036";"01260";"45.882";"5.664";"";"Oui";"33";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:22";"";"";"09/10/2026 09:08:22";"";""
"35";"Bénonces";"01037";"01037";"01470";"45.827";"5.478";"";"Oui";"34";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:23";"";"";"09/10/2026 09:08:23";"";""
"36";"Bény";"01038";"01038";"01370";"46.321";"5.284";"";"Oui";"35";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:24";"";"";"09/10/2026 09:08:24";"";""
"37";"Béréziat";"01040";"01040";"01340";"46.367";"5.046";"";"Oui";"36";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:25";"";"";"09/10/2026 09:08:25";"";""
"38";"Bettant";"01041";"01041";"01500";"45.943";"5.363";"";"Oui";"37";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:25";"";"";"09/10/2026 09:08:25";"";""
"39";"Bey";"01042";"01042";"01290";"46.22";"4.846";"";"Oui";"38";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:26";"";"";"09/10/2026 09:08:26";"";""
"40";"Beynost";"01043";"01043";"01700";"45.84";"5.001";"";"Oui";"39";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:27";"";"";"09/10/2026 09:08:27";"";""
"41";"Billiat";"01044";"01044";"01200";"46.078";"5.784";"";"Oui";"40";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:28";"";"";"09/10/2026 09:08:28";"";""
"42";"Birieux";"01045";"01045";"01330";"45.953";"5.039";"";"Oui";"41";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:28";"";"";"09/10/2026 09:08:28";"";""
"43";"Biziat";"01046";"01046";"01290";"46.217";"4.944";"";"Oui";"42";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:29";"";"";"09/10/2026 09:08:29";"";""
"44";"Blyes";"01047";"01047";"01150";"45.846";"5.25";"";"Oui";"43";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:30";"";"";"09/10/2026 09:08:30";"";""
"45";"La Boisse";"01049";"01049";"01120";"45.842";"5.032";"";"Oui";"44";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:31";"";"";"09/10/2026 09:08:31";"";""
"46";"Boissey";"01050";"01050";"01190";"46.381";"4.997";"";"Oui";"45";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:32";"";"";"09/10/2026 09:08:32";"";""
"47";"Bolozon";"01051";"01051";"01450";"46.192";"5.473";"";"Oui";"46";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:32";"";"";"09/10/2026 09:08:32";"";""
"48";"Bouligneux";"01052";"01052";"01330";"46.022";"4.991";"";"Oui";"47";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:33";"";"";"09/10/2026 09:08:33";"";""
"49";"Bourg-en-Bresse";"01053";"01053";"01000";"46.205";"5.225";"";"Oui";"48";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:35";"";"";"09/10/2026 09:08:35";"";""
"50";"Bourg-Saint-Christophe";"01054";"01054";"01800";"45.89";"5.158";"";"Oui";"49";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:35";"";"";"09/10/2026 09:08:35";"";""
"51";"Boyeux-Saint-Jérôme";"01056";"01056";"01640";"46.03";"5.459";"";"Oui";"50";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:36";"";"";"09/10/2026 09:08:36";"";""
"52";"Boz";"01057";"01057";"01190";"46.407";"4.91";"";"Oui";"51";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:36";"";"";"09/10/2026 09:08:36";"";""
"53";"Brégnier-Cordon";"01058";"01058";"01300";"45.648";"5.619";"";"Oui";"52";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:37";"";"";"09/10/2026 09:08:37";"";""
"54";"Brénod";"01060";"01060";"01110";"46.06";"5.606";"";"Oui";"53";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:38";"";"";"09/10/2026 09:08:38";"";""
"55";"Brens";"01061";"01061";"01300";"45.718";"5.696";"";"Oui";"54";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:39";"";"";"09/10/2026 09:08:39";"";""
"56";"Bressolles";"01062";"01062";"01360";"45.867";"5.096";"";"Oui";"55";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:40";"";"";"09/10/2026 09:08:40";"";""
"57";"Brion";"01063";"01063";"01460";"46.171";"5.553";"";"Oui";"56";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:40";"";"";"09/10/2026 09:08:40";"";""
"58";"Briord";"01064";"01064";"01470";"45.782";"5.459";"";"Oui";"57";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:41";"";"";"09/10/2026 09:08:41";"";""
"59";"Buellas";"01065";"01065";"01310";"46.209";"5.135";"";"Oui";"58";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:42";"";"";"09/10/2026 09:08:42";"";""
"60";"La Burbanche";"01066";"01066";"01510";"45.846";"5.561";"";"Oui";"59";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:43";"";"";"09/10/2026 09:08:43";"";""
"61";"Ceignes";"01067";"01067";"01430";"46.12";"5.5";"";"Oui";"60";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:43";"";"";"09/10/2026 09:08:43";"";""
"62";"Cerdon";"01068";"01068";"01450";"46.081";"5.465";"";"Oui";"61";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:44";"";"";"09/10/2026 09:08:44";"";""
"63";"Certines";"01069";"01069";"01240";"46.132";"5.264";"";"Oui";"62";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:45";"";"";"09/10/2026 09:08:45";"";""
"64";"Cessy";"01071";"01071";"01170";"46.317";"6.07";"";"Oui";"63";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:46";"";"";"09/10/2026 09:08:46";"";""
"65";"Ceyzériat";"01072";"01072";"01250";"46.179";"5.322";"";"Oui";"64";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:47";"";"";"09/10/2026 09:08:47";"";""
"66";"Ceyzérieu";"01073";"01073";"01350";"45.835";"5.726";"";"Oui";"65";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:48";"";"";"09/10/2026 09:08:48";"";""
"67";"Chalamont";"01074";"01074";"01320";"45.996";"5.17";"";"Oui";"66";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:48";"";"";"09/10/2026 09:08:48";"";""
"68";"Chaleins";"01075";"01075";"01480";"46.03";"4.805";"";"Oui";"67";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:49";"";"";"09/10/2026 09:08:49";"";""
"69";"Chaley";"01076";"01076";"01230";"45.955";"5.53";"";"Oui";"68";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:50";"";"";"09/10/2026 09:08:50";"";""
"70";"Challes-la-Montagne";"01077";"01077";"01450";"46.125";"5.463";"";"Oui";"69";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:51";"";"";"09/10/2026 09:08:51";"";""
"71";"Challex";"01078";"01078";"01630";"46.181";"5.972";"";"Oui";"70";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:51";"";"";"09/10/2026 09:08:51";"";""
"72";"Champagne-en-Valromey";"01079";"01079";"01260";"45.905";"5.679";"";"Oui";"71";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:52";"";"";"09/10/2026 09:08:52";"";""
"73";"Champdor-Corcelles";"01080";"01080";"01110";"46.018";"5.597";"";"Oui";"72";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:53";"";"";"09/10/2026 09:08:53";"";""
"74";"Champfromier";"01081";"01081";"01410";"46.194";"5.817";"";"Oui";"73";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:54";"";"";"09/10/2026 09:08:54";"";""
"75";"Chanay";"01082";"01082";"01420";"46.006";"5.785";"";"Oui";"74";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:55";"";"";"09/10/2026 09:08:55";"";""
"76";"Chaneins";"01083";"01083";"01990";"46.097";"4.851";"";"Oui";"75";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:55";"";"";"09/10/2026 09:08:55";"";""
"77";"Chanoz-Châtenay";"01084";"01084";"01400";"46.184";"5.03";"";"Oui";"76";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:56";"";"";"09/10/2026 09:08:56";"";""
"78";"La Chapelle-du-Châtelard";"01085";"01085";"01240";"46.07";"5.024";"";"Oui";"77";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:57";"";"";"09/10/2026 09:08:57";"";""
"79";"Charix";"01087";"01087";"01130";"46.183";"5.685";"";"Oui";"78";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:58";"";"";"09/10/2026 09:08:58";"";""
"80";"Charnoz-sur-Ain";"01088";"01088";"01800";"45.867";"5.222";"";"Oui";"79";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:58";"";"";"09/10/2026 09:08:58";"";""
"81";"Château-Gaillard";"01089";"01089";"01500";"45.974";"5.305";"";"Oui";"80";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:59";"";"";"09/10/2026 09:08:59";"";""
"82";"Châtenay";"01090";"01090";"01320";"46.034";"5.201";"";"Oui";"81";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:00";"";"";"09/10/2026 09:09:00";"";""
"83";"Châtillon-la-Palud";"01092";"01092";"01320";"45.973";"5.254";"";"Oui";"82";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:01";"";"";"09/10/2026 09:09:01";"";""
"84";"Châtillon-sur-Chalaronne";"01093";"01093";"01400";"46.12";"4.958";"";"Oui";"83";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:02";"";"";"09/10/2026 09:09:02";"";""
"85";"Chavannes-sur-Reyssouze";"01094";"01094";"01190";"46.431";"4.997";"";"Oui";"84";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:02";"";"";"09/10/2026 09:09:02";"";""
"86";"Nivigne et Suran";"01095";"01095";"01250";"46.264";"5.427";"";"Oui";"85";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:03";"";"";"09/10/2026 09:09:03";"";""
"87";"Chaveyriat";"01096";"01096";"01660";"46.198";"5.061";"";"Oui";"86";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:04";"";"";"09/10/2026 09:09:04";"";""
"88";"Chazey-Bons";"01098";"01098";"01300";"45.804";"5.683";"";"Oui";"87";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:05";"";"";"09/10/2026 09:09:05";"";""
"89";"Chazey-sur-Ain";"01099";"01099";"01150";"45.893";"5.255";"";"Oui";"88";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:05";"";"";"09/10/2026 09:09:05";"";""
"90";"Cheignieu-la-Balme";"01100";"01100";"01510";"45.826";"5.61";"";"Oui";"89";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:06";"";"";"09/10/2026 09:09:06";"";""
"91";"Chevillard";"01101";"01101";"01430";"46.11";"5.58";"";"Oui";"90";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:07";"";"";"09/10/2026 09:09:07";"";""
"92";"Chevroux";"01102";"01102";"01190";"46.381";"4.948";"";"Oui";"91";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:08";"";"";"09/10/2026 09:09:08";"";""
"93";"Chevry";"01103";"01103";"01170";"46.28";"6.036";"";"Oui";"92";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:09";"";"";"09/10/2026 09:09:09";"";""
"94";"Chézery-Forens";"01104";"01104";"01200";"46.222";"5.868";"";"Oui";"93";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:09";"";"";"09/10/2026 09:09:09";"";""
"95";"Civrieux";"01105";"01105";"01390";"45.92";"4.882";"";"Oui";"94";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:10";"";"";"09/10/2026 09:09:10";"";""
"96";"Cize";"01106";"01106";"01250";"46.206";"5.447";"";"Oui";"95";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:11";"";"";"09/10/2026 09:09:11";"";""
"97";"Cleyzieu";"01107";"01107";"01230";"45.908";"5.431";"";"Oui";"96";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:12";"";"";"09/10/2026 09:09:12";"";""
"98";"Coligny";"01108";"01108";"01270";"46.383";"5.346";"";"Oui";"97";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:13";"";"";"09/10/2026 09:09:13";"";""
"99";"Collonges";"01109";"01109";"01550";"46.138";"5.904";"";"Oui";"98";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:09:13";"";"";"09/10/2026 09:09:13";"";""
