"id";"Title";"CODE";"NOTECOURTE";"NOTELONGUE";"SOURCEORIGINE";"IDSOURCEORIGINE";"VALIDATIONMIGRATION";"ACTIF";"VERROUILLE";"ANOMALIEDETECTEE";"ORDREAFFICHAGE";"DATEDERNIERCONTROLE";"OBJREF";"Modified";"Created";"Author";"Editor"
"16";"Listes et bibliothèques";"LST";"ND";"ND";"OBJ-REF-04-DOMAINES";"5";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:18";"09/17/2026 07:01:18";"UserId:11";"UserId:11"
"17";"Flux";"FLW";"ND";"ND";"OBJ-REF-04-DOMAINES";"8";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:19";"09/17/2026 07:01:19";"UserId:11";"UserId:11"
"18";"WooCommerce";"WOO";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"4";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:20";"09/17/2026 07:01:20";"UserId:11";"UserId:11"
"19";"Power Automate";"PWA";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"6";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:21";"09/17/2026 07:01:21";"UserId:11";"UserId:11"
"20";"Power BI";"PBI";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"7";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:21";"09/17/2026 07:01:21";"UserId:11";"UserId:11"
"21";"Teams";"TEA";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"8";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:22";"09/17/2026 07:01:22";"UserId:11";"UserId:11"
"22";"Excel";"EXC";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"9";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:23";"09/17/2026 07:01:23";"UserId:11";"UserId:11"
"23";"Word";"WOR";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"10";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:24";"09/17/2026 07:01:24";"UserId:11";"UserId:11"
"24";"OneDrive";"ONE";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"11";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:24";"09/17/2026 07:01:24";"UserId:11";"UserId:11"
"25";"Outlook";"OUT";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"12";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:25";"09/17/2026 07:01:25";"UserId:11";"UserId:11"
"26";"SQL Server";"SQL";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"13";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:27";"09/17/2026 07:01:27";"UserId:11";"UserId:11"
"27";"Web";"WEB";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"15";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:27";"09/17/2026 07:01:27";"UserId:11";"UserId:11"
"28";"Local";"LOC";"ND";"ND";"OBJ-REF-10-TECHNOLOGIES";"16";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:27";"09/17/2026 07:01:27";"UserId:11";"UserId:11"
"29";"En attente";"ATT";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"4";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:28";"09/17/2026 07:01:28";"UserId:11";"UserId:11"
"30";"Refusé";"RFS";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"6";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:29";"09/17/2026 07:01:29";"UserId:11";"UserId:11"
"31";"En revue";"REV";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"7";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:30";"09/17/2026 07:01:30";"UserId:11";"UserId:11"
"32";"A contrôler";"CTR";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"8";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:31";"09/17/2026 07:01:31";"UserId:11";"UserId:11"
"33";"A compléter";"CPL";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"9";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:31";"09/17/2026 07:01:31";"UserId:11";"UserId:11"
"34";"Test";"TES";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"10";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:32";"09/17/2026 07:01:32";"UserId:11";"UserId:11"
"35";"Brouillon";"BRO";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"11";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:33";"09/17/2026 07:01:33";"UserId:11";"UserId:11"
"36";"Publié";"PUB";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"12";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:34";"09/17/2026 07:01:34";"UserId:11";"UserId:11"
"37";"Privé";"PRI";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"13";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:34";"09/17/2026 07:01:34";"UserId:11";"UserId:11"
"38";"Non utilisé";"NUT";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"15";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:35";"09/17/2026 07:01:35";"UserId:11";"UserId:11"
"39";"Non applicable";"NAP";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"16";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:36";"09/17/2026 07:01:36";"UserId:11";"UserId:11"
"40";"A définir";"ADE";"ND";"ND";"OBJ-REF-20-STATUTS-GENERAUX";"17";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:37";"09/17/2026 07:01:37";"UserId:11";"UserId:11"
"41";"Critique";"CRI";"ND";"ND";"OBJ-REF-30-PRIORITES";"1";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:38";"09/17/2026 07:01:38";"UserId:11";"UserId:11"
"42";"Haute";"HAU";"ND";"ND";"OBJ-REF-30-PRIORITES";"2";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:38";"09/17/2026 07:01:38";"UserId:11";"UserId:11"
"43";"Normale";"NOR";"ND";"ND";"OBJ-REF-30-PRIORITES";"3";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:39";"09/17/2026 07:01:39";"UserId:11";"UserId:11"
"44";"Basse";"BAS";"ND";"ND";"OBJ-REF-30-PRIORITES";"4";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:40";"09/17/2026 07:01:40";"UserId:11";"UserId:11"
"45";"Optionnelle";"OPT";"ND";"ND";"OBJ-REF-30-PRIORITES";"5";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:41";"09/17/2026 07:01:41";"UserId:11";"UserId:11"
"46";"Importante";"IMP";"ND";"ND";"OBJ-REF-30-PRIORITES";"6";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:41";"09/17/2026 07:01:41";"UserId:11";"UserId:11"
"47";"Urgente";"URG";"ND";"ND";"OBJ-REF-30-PRIORITES";"8";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:42";"09/17/2026 07:01:42";"UserId:11";"UserId:11"
"48";"Bloquante";"BLO";"ND";"ND";"OBJ-REF-30-PRIORITES";"9";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:43";"09/17/2026 07:01:43";"UserId:11";"UserId:11"
"49";"Sensible";"SEN";"ND";"ND";"OBJ-REF-30-PRIORITES";"10";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:43";"09/17/2026 07:01:43";"UserId:11";"UserId:11"
"50";"Confidentielle";"CON";"ND";"ND";"OBJ-REF-30-PRIORITES";"11";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:44";"09/17/2026 07:01:44";"UserId:11";"UserId:11"
"51";"Publique";"PBL";"ND";"ND";"OBJ-REF-30-PRIORITES";"12";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:45";"09/17/2026 07:01:45";"UserId:11";"UserId:11"
"52";"Interne";"INT";"ND";"ND";"OBJ-REF-30-PRIORITES";"13";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:46";"09/17/2026 07:01:46";"UserId:11";"UserId:11"
"53";"Contrôle";"CTL";"ND";"ND";"OBJ-REF-30-PRIORITES";"16";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:46";"09/17/2026 07:01:46";"UserId:11";"UserId:11"
"54";"IA Approuvée";"IAA";"ND";"ND";"OBJ-REF-30-PRIORITES";"17";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:47";"09/17/2026 07:01:47";"UserId:11";"UserId:11"
"55";"IA Revue";"IAR";"ND";"ND";"OBJ-REF-30-PRIORITES";"18";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:48";"09/17/2026 07:01:48";"UserId:11";"UserId:11"
"56";"IA Manuelle";"IAM";"ND";"ND";"OBJ-REF-30-PRIORITES";"19";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:49";"09/17/2026 07:01:49";"UserId:11";"UserId:11"
"57";"IA Validée";"IAV";"ND";"ND";"OBJ-REF-30-PRIORITES";"20";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:49";"09/17/2026 07:01:49";"UserId:11";"UserId:11"
"58";"Usage Client";"UCL";"ND";"ND";"OBJ-REF-40-USAGES";"1";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:50";"09/17/2026 07:01:50";"UserId:11";"UserId:11"
"59";"Gestion";"GES";"ND";"ND";"OBJ-REF-40-USAGES";"3";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:51";"09/17/2026 07:01:51";"UserId:11";"UserId:11"
"60";"Usage Audit";"UAU";"ND";"ND";"OBJ-REF-40-USAGES";"4";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:52";"09/17/2026 07:01:52";"UserId:11";"UserId:11"
"61";"Reporting";"RAP";"ND";"ND";"OBJ-REF-40-USAGES";"5";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:52";"09/17/2026 07:01:52";"UserId:11";"UserId:11"
"62";"Marketing";"MAR";"ND";"ND";"OBJ-REF-40-USAGES";"7";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:53";"09/17/2026 07:01:53";"UserId:11";"UserId:11"
"63";"Vente";"VEN";"ND";"ND";"OBJ-REF-40-USAGES";"8";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:54";"09/17/2026 07:01:54";"UserId:11";"UserId:11"
"64";"Achat";"ACH";"ND";"ND";"OBJ-REF-40-USAGES";"9";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:54";"09/17/2026 07:01:54";"UserId:11";"UserId:11"
"65";"Usage Formation";"FRM";"ND";"ND";"OBJ-REF-40-USAGES";"11";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:55";"09/17/2026 07:01:55";"UserId:11";"UserId:11"
"66";"Usage Test";"UTE";"ND";"ND";"OBJ-REF-40-USAGES";"12";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:56";"09/17/2026 07:01:56";"UserId:11";"UserId:11"
"67";"Développement";"DEV";"ND";"ND";"OBJ-REF-40-USAGES";"13";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:57";"09/17/2026 07:01:57";"UserId:11";"UserId:11"
"68";"Production";"PRO";"ND";"ND";"OBJ-REF-40-USAGES";"14";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:57";"09/17/2026 07:01:57";"UserId:11";"UserId:11"
"69";"Documentation";"DCT";"ND";"ND";"OBJ-REF-40-USAGES";"15";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:01:58";"09/17/2026 07:01:58";"UserId:11";"UserId:11"
"70";"Archivage";"ARV";"ND";"ND";"OBJ-REF-40-USAGES";"16";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:00";"09/17/2026 07:02:00";"UserId:11";"UserId:11"
"71";"Import";"IMR";"ND";"ND";"OBJ-REF-40-USAGES";"17";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:00";"09/17/2026 07:02:00";"UserId:11";"UserId:11"
"72";"Synchronisation";"SYN";"ND";"ND";"OBJ-REF-40-USAGES";"18";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:00";"09/17/2026 07:02:00";"UserId:11";"UserId:11"
"73";"Responsable Métier";"RBM";"ND";"ND";"OBJ-REF-50-ROLES";"1";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:01";"09/17/2026 07:02:01";"UserId:11";"UserId:11"
"74";"Responsable Technique";"RBT";"ND";"ND";"OBJ-REF-50-ROLES";"2";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:02";"09/17/2026 07:02:02";"UserId:11";"UserId:11"
"75";"Lecteur";"LEC";"ND";"ND";"OBJ-REF-50-ROLES";"3";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:03";"09/17/2026 07:02:03";"UserId:11";"UserId:11"
"76";"Auteur";"AUT";"ND";"ND";"OBJ-REF-50-ROLES";"4";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:04";"09/17/2026 07:02:04";"UserId:11";"UserId:11"
"77";"Créateur";"CRE";"ND";"ND";"OBJ-REF-50-ROLES";"5";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:04";"09/17/2026 07:02:04";"UserId:11";"UserId:11"
"78";"Exécutant";"EXE";"ND";"ND";"OBJ-REF-50-ROLES";"6";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:05";"09/17/2026 07:02:05";"UserId:11";"UserId:11"
"79";"Demandeur";"DEM";"ND";"ND";"OBJ-REF-50-ROLES";"7";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:06";"09/17/2026 07:02:06";"UserId:11";"UserId:11"
"80";"Destinataire";"DST";"ND";"ND";"OBJ-REF-50-ROLES";"8";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:06";"09/17/2026 07:02:06";"UserId:11";"UserId:11"
"81";"Responsable RACI";"RAC";"ND";"ND";"OBJ-REF-50-ROLES";"9";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:07";"09/17/2026 07:02:07";"UserId:11";"UserId:11"
"82";"Copilote";"COP";"ND";"ND";"OBJ-REF-50-ROLES";"10";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:08";"09/17/2026 07:02:08";"UserId:11";"UserId:11"
"83";"IA Opérateur";"IAO";"ND";"ND";"OBJ-REF-50-ROLES";"11";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:09";"09/17/2026 07:02:09";"UserId:11";"UserId:11"
"84";"Manuel";"MAN";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"1";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:09";"09/17/2026 07:02:09";"UserId:11";"UserId:11"
"85";"Semi-automatique";"SAT";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"2";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:10";"09/17/2026 07:02:10";"UserId:11";"UserId:11"
"86";"Assisté";"AST";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"3";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:11";"09/17/2026 07:02:11";"UserId:11";"UserId:11"
"87";"Unitaire";"UNI";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"4";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:11";"09/17/2026 07:02:11";"UserId:11";"UserId:11"
"88";"Par lot";"LOT";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"5";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:12";"09/17/2026 07:02:12";"UserId:11";"UserId:11"
"89";"Asynchrone";"ASY";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"6";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:13";"09/17/2026 07:02:13";"UserId:11";"UserId:11"
"90";"Déclenché événement";"EVN";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"9";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:14";"09/17/2026 07:02:14";"UserId:11";"UserId:11"
"91";"Récurrent";"REC";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"10";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:15";"09/17/2026 07:02:15";"UserId:11";"UserId:11"
"92";"Ponctuel";"PON";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"11";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:15";"09/17/2026 07:02:15";"UserId:11";"UserId:11"
"93";"Batch";"BAT";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"12";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:17";"09/17/2026 07:02:17";"UserId:11";"UserId:11"
"94";"Différé";"DIF";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"13";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:17";"09/17/2026 07:02:17";"UserId:11";"UserId:11"
"95";"Séquentiel";"SEQ";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"14";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:17";"09/17/2026 07:02:17";"UserId:11";"UserId:11"
"96";"Parallèle";"PRL";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"15";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:18";"09/17/2026 07:02:18";"UserId:11";"UserId:11"
"97";"IA Totale";"IAT";"ND";"ND";"OBJ-REF-60-MODES-TRAITEMENT";"16";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:19";"09/17/2026 07:02:19";"UserId:11";"UserId:11"
"98";"Parent";"PAR";"ND";"ND";"OBJ-REF-70-RELATIONS";"1";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:20";"09/17/2026 07:02:20";"UserId:11";"UserId:11"
"99";"Enfant";"ENF";"ND";"ND";"OBJ-REF-70-RELATIONS";"2";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:20";"09/17/2026 07:02:20";"UserId:11";"UserId:11"
"100";"Source";"SRC";"ND";"ND";"OBJ-REF-70-RELATIONS";"3";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:21";"09/17/2026 07:02:21";"UserId:11";"UserId:11"
"101";"Cible";"CIB";"ND";"ND";"OBJ-REF-70-RELATIONS";"4";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | Validation : En attente";"09/17/2026 07:02:22";"09/17/2026 07:02:22";"UserId:11";"UserId:11"
