"id";"Title";"IDGeoDevise";"CodeDevise";"CodeISODevise";"SymboleDevise";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"84";"Burmese kyat";"ID-GEO-DEV-000084";"MMK";"";"K";"Oui";"84";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:25";"09/10/2026 08:01:25";"";""
"85";"Mongolian tögrög";"ID-GEO-DEV-000085";"MNT";"";"₮";"Oui";"85";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:27";"09/10/2026 08:01:27";"";""
"86";"Macanese pataca";"ID-GEO-DEV-000086";"MOP";"";"MOP$";"Oui";"86";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:28";"09/10/2026 08:01:28";"";""
"87";"Mauritanian ouguiya";"ID-GEO-DEV-000087";"MRU";"";"UM";"Oui";"87";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:30";"09/10/2026 08:01:30";"";""
"88";"Mauritian rupee";"ID-GEO-DEV-000088";"MUR";"";"₨";"Oui";"88";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:31";"09/10/2026 08:01:31";"";""
"89";"Maldivian rufiyaa";"ID-GEO-DEV-000089";"MVR";"";"Rf";"Oui";"89";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:33";"09/10/2026 08:01:33";"";""
"90";"Malawian kwacha";"ID-GEO-DEV-000090";"MWK";"";"MK";"Oui";"90";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:34";"09/10/2026 08:01:34";"";""
"91";"Mexican peso";"ID-GEO-DEV-000091";"MXN";"";"$";"Oui";"91";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:36";"09/10/2026 08:01:36";"";""
"92";"Malaysian ringgit";"ID-GEO-DEV-000092";"MYR";"";"RM";"Oui";"92";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:37";"09/10/2026 08:01:37";"";""
"93";"Mozambican metical";"ID-GEO-DEV-000093";"MZN";"";"MT";"Oui";"93";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:39";"09/10/2026 08:01:39";"";""
"94";"Namibian dollar";"ID-GEO-DEV-000094";"NAD";"";"$";"Oui";"94";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:40";"09/10/2026 08:01:40";"";""
"95";"Nigerian naira";"ID-GEO-DEV-000095";"NGN";"";"₦";"Oui";"95";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:42";"09/10/2026 08:01:42";"";""
"96";"Nicaraguan córdoba";"ID-GEO-DEV-000096";"NIO";"";"C$";"Oui";"96";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:43";"09/10/2026 08:01:43";"";""
"97";"Norwegian krone";"ID-GEO-DEV-000097";"NOK";"";"kr";"Oui";"97";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:45";"09/10/2026 08:01:45";"";""
"98";"Nepalese rupee";"ID-GEO-DEV-000098";"NPR";"";"₨";"Oui";"98";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:47";"09/10/2026 08:01:47";"";""
"99";"New Zealand dollar";"ID-GEO-DEV-000099";"NZD";"";"$";"Oui";"99";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:48";"09/10/2026 08:01:48";"";""
"100";"Omani rial";"ID-GEO-DEV-000100";"OMR";"";"ر.ع.";"Oui";"100";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:49";"09/10/2026 08:01:49";"";""
"101";"Panamanian balboa";"ID-GEO-DEV-000101";"PAB";"";"B/.";"Oui";"101";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:51";"09/10/2026 08:01:51";"";""
"102";"Peruvian sol";"ID-GEO-DEV-000102";"PEN";"";"S/";"Oui";"102";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:53";"09/10/2026 08:01:53";"";""
"103";"Papua New Guinean kina";"ID-GEO-DEV-000103";"PGK";"";"K";"Oui";"103";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:54";"09/10/2026 08:01:54";"";""
"104";"Philippine peso";"ID-GEO-DEV-000104";"PHP";"";"₱";"Oui";"104";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:56";"09/10/2026 08:01:56";"";""
"105";"Pakistani rupee";"ID-GEO-DEV-000105";"PKR";"";"₨";"Oui";"105";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:57";"09/10/2026 08:01:57";"";""
"106";"Polish złoty";"ID-GEO-DEV-000106";"PLN";"";"zł";"Oui";"106";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:59";"09/10/2026 08:01:59";"";""
"107";"Paraguayan guaraní";"ID-GEO-DEV-000107";"PYG";"";"₲";"Oui";"107";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:00";"09/10/2026 08:02:00";"";""
"108";"Qatari riyal";"ID-GEO-DEV-000108";"QAR";"";"ر.ق";"Oui";"108";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:01";"09/10/2026 08:02:01";"";""
"109";"Romanian leu";"ID-GEO-DEV-000109";"RON";"";"lei";"Oui";"109";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:03";"09/10/2026 08:02:03";"";""
"110";"Serbian dinar";"ID-GEO-DEV-000110";"RSD";"";"дин.";"Oui";"110";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:04";"09/10/2026 08:02:04";"";""
"111";"Russian ruble";"ID-GEO-DEV-000111";"RUB";"";"₽";"Oui";"111";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:06";"09/10/2026 08:02:06";"";""
"112";"Rwandan franc";"ID-GEO-DEV-000112";"RWF";"";"FRw";"Oui";"112";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:07";"09/10/2026 08:02:07";"";""
"113";"Saudi riyal";"ID-GEO-DEV-000113";"SAR";"";"ر.س";"Oui";"113";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:09";"09/10/2026 08:02:09";"";""
"114";"Solomon Islands dollar";"ID-GEO-DEV-000114";"SBD";"";"$";"Oui";"114";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:10";"09/10/2026 08:02:10";"";""
"115";"Seychellois rupee";"ID-GEO-DEV-000115";"SCR";"";"₨";"Oui";"115";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:02:12";"09/10/2026 08:02:12";"";""
