Titre - Type Média;ID OBJ Type Média;Code Type Média;Famille Média;Extensions Principales;Description Type Média;Aperçu Obligatoire;Filigrane Possible;Téléchargement Possible;Actif;Ordre Affichage;Validation DSE
Document PDF;ID-OBJ-TME-000017;DOCUMENT-PDF;DOCUMENT;PDF;Document portable destiné à la consultation impression ou distribution.;Oui;Oui;Oui;Oui;170;Non
Document Word;ID-OBJ-TME-000018;DOCUMENT-WORD;DOCUMENT;DOCX;Document modifiable destiné aux procédures modèles ou contenus éditoriaux.;Oui;Non;Oui;Oui;180;Non
Présentation;ID-OBJ-TME-000019;PRESENTATION;DOCUMENT;PPTX | PDF;Présentation structurée destinée à la formation à l’information ou à la vente.;Oui;Oui;Oui;Oui;190;Non
Tableur;ID-OBJ-TME-000020;TABLEUR;DONNEE;XLSX | XLSM;Classeur de données calculs modèles contrôles ou rapports.;Oui;Non;Oui;Oui;200;Non
CSV;ID-OBJ-TME-000021;CSV;DONNEE;CSV;Fichier tabulaire d’import export sauvegarde ou produit numérique DSE.;Non;Non;Oui;Oui;210;Non
JSON;ID-OBJ-TME-000022;JSON;DONNEE;JSON;Fichier de données structurées destiné aux automatisations et intégrations.;Non;Non;Oui;Oui;220;Non
XML;ID-OBJ-TME-000023;XML;DONNEE;XML;Fichier de données structurées destiné aux échanges et configurations.;Non;Non;Oui;Oui;230;Non
Archive ZIP;ID-OBJ-TME-000024;ARCHIVE-ZIP;ARCHIVE;ZIP | 7Z;Pack regroupant plusieurs médias documents ou versions livrables.;Non;Non;Oui;Oui;240;Non
Modèle;ID-OBJ-TME-000025;MODELE;RESSOURCE;DOCX | PPTX | XLSX | JSON | ZIP;Modèle réutilisable pour document présentation tableur données ou projet.;Oui;Selon format;Oui;Oui;250;Non
Prompt IA;ID-OBJ-TME-000026;PROMPT-IA;IA;TXT | JSON | CSV;Prompt maître ou spécialisé réutilisable pour une production IA contrôlée.;Non;Non;Oui;Oui;260;Non
Formation;ID-OBJ-TME-000027;FORMATION;EDUCATION;PDF | PPTX | MP4 | ZIP;Ensemble pédagogique pouvant contenir documents présentations vidéos et exercices.;Oui;Selon format;Oui;Oui;270;Non
Fiche pédagogique;ID-OBJ-TME-000028;FICHE-PEDAGOGIQUE;EDUCATION;PDF | DOCX | PNG;Support synthétique destiné à l’apprentissage ou à l’accompagnement.;Oui;Oui;Oui;Oui;280;Non
Livre numérique;ID-OBJ-TME-000029;LIVRE-NUMERIQUE;EDITION;PDF | EPUB;Livre ou publication numérique destiné à la lecture et à la distribution.;Oui;Oui;Oui;Oui;290;Non
Police de caractères;ID-OBJ-TME-000030;POLICE-CARACTERES;RESSOURCE;TTF | OTF | WOFF;Police de caractères dont les droits et usages doivent être vérifiés.;Oui;Non;Oui;Oui;300;Non
Fichier 3D;ID-OBJ-TME-000031;FICHIER-3D;MEDIA-3D;GLB | GLTF | OBJ | STL;Modèle tridimensionnel destiné à la visualisation impression ou intégration.;Oui;Possible;Oui;Oui;310;Non
Panorama 360;ID-OBJ-TME-000032;PANORAMA-360;MEDIA-IMMERSIF;JPG | WEBP | MP4;Média panoramique ou immersif destiné à une consultation interactive.;Oui;Oui;Oui;Oui;320;Non
Aperçu protégé;ID-OBJ-TME-000033;APERCU-PROTEGE;PROTECTION;JPG | WEBP | MP4 | MP3 | PDF;Version publique réduite compressée ou filigranée sans accès à l’original.;Non;Oui;Non;Oui;900;Non
Version client;ID-OBJ-TME-000034;VERSION-CLIENT;PERSONNALISATION;SELON-FORMAT;Version personnalisée avec identité signature logo ou référence client.;Oui;Oui;Oui;Oui;910;Non
Non déterminé;ID-OBJ-TME-000035;NON-DETERMINE;CONTROLE;;Type temporaire utilisé lorsque le format ou l’usage reste à déterminer.;Non;Non;Non;Oui;990;Non
