"id";"Title";"IDGeoFuseau";"CodeFuseau";"UTC";"DecalageHeure";"DescriptionFuseau";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"14";"UTC-01:00";"ID-GEO-FUS-000014";"UTCM0100";"UTC-01:00";"-1";"Fuseau horaire correspondant à un décalage de -01:00 par rapport au temps universel coordonné.";"Oui";"140";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:16";"09/10/2026 18:51:16";"";""
"15";"UTC+00:00";"ID-GEO-FUS-000015";"UTCP0000";"UTC+00:00";"0";"Fuseau horaire correspondant à un décalage de +00:00 par rapport au temps universel coordonné.";"Oui";"150";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:17";"09/10/2026 18:51:17";"";""
"16";"UTC+01:00";"ID-GEO-FUS-000016";"UTCP0100";"UTC+01:00";"1";"Fuseau horaire correspondant à un décalage de +01:00 par rapport au temps universel coordonné.";"Oui";"160";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:17";"09/10/2026 18:51:17";"";""
"17";"UTC+02:00";"ID-GEO-FUS-000017";"UTCP0200";"UTC+02:00";"2";"Fuseau horaire correspondant à un décalage de +02:00 par rapport au temps universel coordonné.";"Oui";"170";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:18";"09/10/2026 18:51:18";"";""
"18";"UTC+03:00";"ID-GEO-FUS-000018";"UTCP0300";"UTC+03:00";"3";"Fuseau horaire correspondant à un décalage de +03:00 par rapport au temps universel coordonné.";"Oui";"180";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:19";"09/10/2026 18:51:19";"";""
"19";"UTC+03:30";"ID-GEO-FUS-000019";"UTCP0330";"UTC+03:30";"3.5";"Fuseau horaire correspondant à un décalage de +03:30 par rapport au temps universel coordonné.";"Oui";"190";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:20";"09/10/2026 18:51:20";"";""
"20";"UTC+04:00";"ID-GEO-FUS-000020";"UTCP0400";"UTC+04:00";"4";"Fuseau horaire correspondant à un décalage de +04:00 par rapport au temps universel coordonné.";"Oui";"200";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:20";"09/10/2026 18:51:20";"";""
"21";"UTC+04:30";"ID-GEO-FUS-000021";"UTCP0430";"UTC+04:30";"4.5";"Fuseau horaire correspondant à un décalage de +04:30 par rapport au temps universel coordonné.";"Oui";"210";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:23";"09/10/2026 18:51:23";"";""
"22";"UTC+05:00";"ID-GEO-FUS-000022";"UTCP0500";"UTC+05:00";"5";"Fuseau horaire correspondant à un décalage de +05:00 par rapport au temps universel coordonné.";"Oui";"220";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:24";"09/10/2026 18:51:24";"";""
"23";"UTC+05:30";"ID-GEO-FUS-000023";"UTCP0530";"UTC+05:30";"5.5";"Fuseau horaire correspondant à un décalage de +05:30 par rapport au temps universel coordonné.";"Oui";"230";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:24";"09/10/2026 18:51:24";"";""
"24";"UTC+05:45";"ID-GEO-FUS-000024";"UTCP0545";"UTC+05:45";"5.75";"Fuseau horaire correspondant à un décalage de +05:45 par rapport au temps universel coordonné.";"Oui";"240";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:25";"09/10/2026 18:51:25";"";""
"25";"UTC+06:00";"ID-GEO-FUS-000025";"UTCP0600";"UTC+06:00";"6";"Fuseau horaire correspondant à un décalage de +06:00 par rapport au temps universel coordonné.";"Oui";"250";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:26";"09/10/2026 18:51:26";"";""
"26";"UTC+06:30";"ID-GEO-FUS-000026";"UTCP0630";"UTC+06:30";"6.5";"Fuseau horaire correspondant à un décalage de +06:30 par rapport au temps universel coordonné.";"Oui";"260";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:27";"09/10/2026 18:51:27";"";""
"27";"UTC+07:00";"ID-GEO-FUS-000027";"UTCP0700";"UTC+07:00";"7";"Fuseau horaire correspondant à un décalage de +07:00 par rapport au temps universel coordonné.";"Oui";"270";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:27";"09/10/2026 18:51:27";"";""
"28";"UTC+08:00";"ID-GEO-FUS-000028";"UTCP0800";"UTC+08:00";"8";"Fuseau horaire correspondant à un décalage de +08:00 par rapport au temps universel coordonné.";"Oui";"280";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:28";"09/10/2026 18:51:28";"";""
"29";"UTC+08:45";"ID-GEO-FUS-000029";"UTCP0845";"UTC+08:45";"8.75";"Fuseau horaire correspondant à un décalage de +08:45 par rapport au temps universel coordonné.";"Oui";"290";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:29";"09/10/2026 18:51:29";"";""
"30";"UTC+09:00";"ID-GEO-FUS-000030";"UTCP0900";"UTC+09:00";"9";"Fuseau horaire correspondant à un décalage de +09:00 par rapport au temps universel coordonné.";"Oui";"300";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:30";"09/10/2026 18:51:30";"";""
"31";"UTC+09:30";"ID-GEO-FUS-000031";"UTCP0930";"UTC+09:30";"9.5";"Fuseau horaire correspondant à un décalage de +09:30 par rapport au temps universel coordonné.";"Oui";"310";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:31";"09/10/2026 18:51:31";"";""
"32";"UTC+10:00";"ID-GEO-FUS-000032";"UTCP1000";"UTC+10:00";"10";"Fuseau horaire correspondant à un décalage de +10:00 par rapport au temps universel coordonné.";"Oui";"320";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:31";"09/10/2026 18:51:31";"";""
"33";"UTC+10:30";"ID-GEO-FUS-000033";"UTCP1030";"UTC+10:30";"10.5";"Fuseau horaire correspondant à un décalage de +10:30 par rapport au temps universel coordonné.";"Oui";"330";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:32";"09/10/2026 18:51:32";"";""
"34";"UTC+11:00";"ID-GEO-FUS-000034";"UTCP1100";"UTC+11:00";"11";"Fuseau horaire correspondant à un décalage de +11:00 par rapport au temps universel coordonné.";"Oui";"340";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:33";"09/10/2026 18:51:33";"";""
"35";"UTC+12:00";"ID-GEO-FUS-000035";"UTCP1200";"UTC+12:00";"12";"Fuseau horaire correspondant à un décalage de +12:00 par rapport au temps universel coordonné.";"Oui";"350";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:34";"09/10/2026 18:51:34";"";""
"36";"UTC+12:45";"ID-GEO-FUS-000036";"UTCP1245";"UTC+12:45";"12.75";"Fuseau horaire correspondant à un décalage de +12:45 par rapport au temps universel coordonné.";"Oui";"360";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:34";"09/10/2026 18:51:34";"";""
"37";"UTC+13:00";"ID-GEO-FUS-000037";"UTCP1300";"UTC+13:00";"13";"Fuseau horaire correspondant à un décalage de +13:00 par rapport au temps universel coordonné.";"Oui";"370";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:35";"09/10/2026 18:51:35";"";""
"38";"UTC+14:00";"ID-GEO-FUS-000038";"UTCP1400";"UTC+14:00";"14";"Fuseau horaire correspondant à un décalage de +14:00 par rapport au temps universel coordonné.";"Oui";"380";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:36";"09/10/2026 18:51:36";"";""
