"id";"Title";"CODESCRIPT";"NOMSCRIPT";"ORDREEXECUTION";"DOMAINE";"FONCTIONPRINCIPALE";"UTILITE";"TYPEOBJET";"STATUTCATALOGUE";"VERSIONCIBLE";"SOURCEOFFICIELLE";"NOTES";"OBJREF";"CODESCRIPT0";"NOMSCRIPT0";"DESCRIPTIONSCRIPT";"ORDREEXECUTION0";"EXISTENCESCRIPT0";"VERSIONSCRIPT";"CHEMINSCRIPT";"TYPESCRIPTREF";"STATUTSCRIPTREF";"JOURNALISATIONREF";"EXISTENCESCRIPTREF";"ACTIFREF";"VERROUILLEREF";"NBUSAGESSHAREPOINT";"NBUSAGESSCRIPTS";"NBUSAGESTOTAL";"NBDOUBLONSCATALOGUE";"STATUTPROTECTION";"DATEDERNIERCONTROLEUSAGES";"Modified";"Created";"Author";"Editor"
"31";"70-11.ps1";"70-11";"70-11.ps1";"11";"ND";"Set-DSEObjScrRow";"Fonction PowerShell Set-DSEObjScrRow du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-11.ps1";"Taille=559 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Set-DSEObjScrRow; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - TRACABILITE";"";"";"";"";"";"";"70-OUTILS\70-11.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:18";"09/17/2026 12:15:56";"";""
"32";"70-12.ps1";"70-12";"70-12.ps1";"12";"ND";"Test-DSEObjScrRow";"Fonction PowerShell Test-DSEObjScrRow du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-12.ps1";"Taille=835 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Test-DSEObjScrRow; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - CARTOGRAPHIE";"";"";"";"";"";"";"70-OUTILS\70-12.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:19";"09/17/2026 12:15:57";"";""
"33";"70-13.ps1";"70-13";"70-13.ps1";"13";"ND";"Move-DSEFileToArchive";"Fonction PowerShell Move-DSEFileToArchive du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-13.ps1";"Taille=966 octets; Derniere modification=2026-09-17T13:13:47; Fonction PowerShell=Move-DSEFileToArchive; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - REFERENTIEL";"";"";"";"";"";"";"70-OUTILS\70-13.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:20";"09/17/2026 12:15:58";"";""
"34";"70-14.ps1";"70-14";"70-14.ps1";"14";"ND";"Find-DSEArchivedFile";"Fonction PowerShell Find-DSEArchivedFile du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-14.ps1";"Taille=558 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Find-DSEArchivedFile; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - REFERENTIEL";"";"";"";"";"";"";"70-OUTILS\70-14.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:20";"09/17/2026 12:15:59";"";""
"35";"70-15.ps1";"70-15";"70-15.ps1";"15";"ND";"Compare-DSEVersion";"Fonction PowerShell Compare-DSEVersion du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-15.ps1";"Taille=630 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Compare-DSEVersion; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - CARTOGRAPHIE";"";"";"";"";"";"";"70-OUTILS\70-15.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:21";"09/17/2026 12:15:59";"";""
"36";"70-16.ps1";"70-16";"70-16.ps1";"16";"ND";"Test-DSECodeUniqueness";"Fonction PowerShell Test-DSECodeUniqueness du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-16.ps1";"Taille=735 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Test-DSECodeUniqueness; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - REFERENTIEL";"";"";"";"";"";"";"70-OUTILS\70-16.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:22";"09/17/2026 12:16:00";"";""
"37";"70-17.ps1";"70-17";"70-17.ps1";"17";"ND";"Unblock-DSEPowerShellFiles";"Fonction PowerShell Unblock-DSEPowerShellFiles du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-17.ps1";"Taille=2395 octets; Derniere modification=2026-09-17T13:13:47; Fonction PowerShell=Unblock-DSEPowerShellFiles; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - MOTEUR DSE";"";"";"";"";"";"";"70-OUTILS\70-17.ps1";"";"";"";"";"";"";"0";"2";"2";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:23";"09/17/2026 12:16:01";"";""
"38";"70-18.ps1";"70-18";"70-18.ps1";"18";"ND";"Test-DSEPowerShellEnvironment";"Fonction PowerShell Test-DSEPowerShellEnvironment du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-18.ps1";"Taille=697 octets; Derniere modification=2026-09-16T10:36:16; Fonction PowerShell=Test-DSEPowerShellEnvironment; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - MOTEUR DSE";"";"";"";"";"";"";"70-OUTILS\70-18.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:24";"09/17/2026 12:16:02";"";""
"39";"70-19.ps1";"70-19";"70-19.ps1";"19";"ND";"Test-DSEPowerShellFileExecution";"Fonction PowerShell Test-DSEPowerShellFileExecution du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-19.ps1";"Taille=1023 octets; Derniere modification=2026-09-16T10:36:16; Fonction PowerShell=Test-DSEPowerShellFileExecution; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - MOTEUR DSE";"";"";"";"";"";"";"70-OUTILS\70-19.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:25";"09/17/2026 12:16:03";"";""
"41";"70-21.ps1";"70-21";"70-21.ps1";"21";"ND";"Get-DSESharePointListInventory";"Fonction PowerShell Get-DSESharePointListInventory du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-21.ps1";"Taille=631 octets; Derniere modification=2026-09-16T14:10:00; Fonction PowerShell=Get-DSESharePointListInventory; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE";"";"";"";"";"";"";"70-OUTILS\70-21.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:26";"09/17/2026 12:16:04";"";""
"42";"70-22.ps1";"70-22";"70-22.ps1";"22";"ND";"Get-DSESharePointFieldInventory";"Fonction PowerShell Get-DSESharePointFieldInventory du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-22.ps1";"Taille=996 octets; Derniere modification=2026-09-16T14:10:00; Fonction PowerShell=Get-DSESharePointFieldInventory; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE";"";"";"";"";"";"";"70-OUTILS\70-22.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:27";"09/17/2026 12:16:05";"";""
"43";"70-23.ps1";"70-23";"70-23.ps1";"23";"ND";"Get-DSESharePointItemSample";"Fonction PowerShell Get-DSESharePointItemSample du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-23.ps1";"Taille=1252 octets; Derniere modification=2026-09-16T14:10:00; Fonction PowerShell=Get-DSESharePointItemSample; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE";"";"";"";"";"";"";"70-OUTILS\70-23.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:28";"09/17/2026 12:16:06";"";""
"44";"70-24.ps1";"70-24";"70-24.ps1";"24";"ND";"Get-DSESharePointLookupInventory";"Fonction PowerShell Get-DSESharePointLookupInventory du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-24.ps1";"Taille=806 octets; Derniere modification=2026-09-16T14:10:01; Fonction PowerShell=Get-DSESharePointLookupInventory; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE";"";"";"";"";"";"";"70-OUTILS\70-24.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:29";"09/17/2026 12:16:06";"";""
"45";"70-25.ps1";"70-25";"70-25.ps1";"25";"ND";"Export-DSESharePointAuditReport";"Fonction PowerShell Export-DSESharePointAuditReport du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-25.ps1";"Taille=2255 octets; Derniere modification=2026-09-17T13:14:00; Fonction PowerShell=Export-DSESharePointAuditReport; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE";"";"";"";"";"";"";"70-OUTILS\70-25.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:31";"09/17/2026 12:16:07";"";""
"46";"70-26.ps1";"70-26";"70-26.ps1";"26";"ND";"Test-DSEControlId";"Fonction PowerShell Test-DSEControlId du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-26.ps1";"Taille=515 octets; Derniere modification=2026-09-17T13:25:35; Fonction PowerShell=Test-DSEControlId; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE";"";"";"";"";"";"";"70-OUTILS\70-26.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:31";"09/17/2026 12:16:08";"";""
"47";"70-27.ps1";"70-27";"70-27.ps1";"27";"ND";"Test-DSEControlVersion";"Fonction PowerShell Test-DSEControlVersion du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-27.ps1";"Taille=498 octets; Derniere modification=2026-09-17T13:25:35; Fonction PowerShell=Test-DSEControlVersion; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE";"";"";"";"";"";"";"70-OUTILS\70-27.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:32";"09/17/2026 12:16:09";"";""
