"id";"Title";"IDJrnGeo";"DateEvenement";"TypeEvenement";"ActionGeo";"ListeGeo";"SourceGeo";"FichierSource";"NbLignes";"NbCreations";"NbMaj";"NbErreurs";"StatutGeo";"DetailsGeo";"Verrouille";"ValidationDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"31";"ACTION GEO-DEPARTEMENTS SANS LOOKUP";"JRN-GEO-20260910203123254";"10/09/2026 20:31:23";"ACTION";"ACTION import GEO-DEPARTEMENTS.csv sans lookup";"OBJ-GEO-DEPARTEMENT";"CSV";"GEO-DEPARTEMENTS.csv";"50";"50";"0";"0";"LOT TERMINE";"Lot=2; Fin=50; Creations=50; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:31:24";"09/10/2026 18:31:24";"UserId:11";"UserId:11"
"32";"ACTION GEO-DEPARTEMENTS SANS LOOKUP";"JRN-GEO-20260910203145897";"10/09/2026 20:31:45";"ACTION";"ACTION import GEO-DEPARTEMENTS.csv sans lookup";"OBJ-GEO-DEPARTEMENT";"CSV";"GEO-DEPARTEMENTS.csv";"75";"75";"0";"0";"LOT TERMINE";"Lot=3; Fin=75; Creations=75; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:31:47";"09/10/2026 18:31:47";"UserId:11";"UserId:11"
"33";"ACTION GEO-DEPARTEMENTS SANS LOOKUP";"JRN-GEO-20260910203206232";"10/09/2026 20:32:06";"ACTION";"ACTION import GEO-DEPARTEMENTS.csv sans lookup";"OBJ-GEO-DEPARTEMENT";"CSV";"GEO-DEPARTEMENTS.csv";"100";"100";"0";"0";"LOT TERMINE";"Lot=4; Fin=100; Creations=100; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:32:07";"09/10/2026 18:32:07";"UserId:11";"UserId:11"
"34";"ACTION GEO-DEPARTEMENTS SANS LOOKUP";"JRN-GEO-20260910203208377";"10/09/2026 20:32:08";"ACTION";"ACTION import GEO-DEPARTEMENTS.csv sans lookup";"OBJ-GEO-DEPARTEMENT";"CSV";"GEO-DEPARTEMENTS.csv";"101";"101";"0";"0";"LOT TERMINE";"Lot=5; Fin=101; Creations=101; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:32:09";"09/10/2026 18:32:09";"UserId:11";"UserId:11"
"35";"FIN GEO-DEPARTEMENTS SANS LOOKUP";"JRN-GEO-20260910203209266";"10/09/2026 20:32:09";"FIN";"FIN import GEO-DEPARTEMENTS.csv sans lookup";"OBJ-GEO-DEPARTEMENT";"CSV";"GEO-DEPARTEMENTS.csv";"101";"101";"0";"0";"SUCCES";"Total=101; Creations=101; Ignores=0; Erreurs=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:32:10";"09/10/2026 18:32:10";"UserId:11";"UserId:11"
"36";"DEBUT GEO-TERRITOIRES SANS LOOKUP";"JRN-GEO-20260910203527323";"10/09/2026 20:35:27";"DEBUT";"DEBUT import GEO-TERRITOIRES.csv sans lookup";"OBJ-GEO-TERRITOIRE";"CSV";"GEO-TERRITOIRES.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=9; Reprise=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:35:28";"09/10/2026 18:35:28";"UserId:11";"UserId:11"
"37";"ACTION GEO-TERRITOIRES SANS LOOKUP";"JRN-GEO-20260910203552125";"10/09/2026 20:35:52";"ACTION";"ACTION import GEO-TERRITOIRES.csv sans lookup";"OBJ-GEO-TERRITOIRE";"CSV";"GEO-TERRITOIRES.csv";"9";"9";"0";"0";"LOT TERMINE";"Lot=1; Fin=9; Creations=9; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:35:53";"09/10/2026 18:35:53";"UserId:11";"UserId:11"
"38";"FIN GEO-TERRITOIRES SANS LOOKUP";"JRN-GEO-20260910203552877";"10/09/2026 20:35:52";"FIN";"FIN import GEO-TERRITOIRES.csv sans lookup";"OBJ-GEO-TERRITOIRE";"CSV";"GEO-TERRITOIRES.csv";"9";"9";"0";"0";"SUCCES";"Total=9; Creations=9; Ignores=0; Erreurs=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:35:54";"09/10/2026 18:35:54";"UserId:11";"UserId:11"
"39";"DEBUT GEO-NATIONALITES SANS LOOKUP";"JRN-GEO-20260910203831939";"10/09/2026 20:38:31";"DEBUT";"DEBUT import GEO-NATIONALITES.csv sans lookup";"OBJ-GEO-NATIONALITE";"CSV";"GEO-NATIONALITES.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=249; Reprise=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:38:34";"09/10/2026 18:38:34";"UserId:11";"UserId:11"
"40";"ACTION GEO-NATIONALITES SANS LOOKUP";"JRN-GEO-20260910203924983";"10/09/2026 20:39:24";"ACTION";"ACTION import GEO-NATIONALITES.csv sans lookup";"OBJ-GEO-NATIONALITE";"CSV";"GEO-NATIONALITES.csv";"50";"50";"0";"0";"LOT TERMINE";"Lot=1; Fin=50; Creations=50; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:39:26";"09/10/2026 18:39:26";"UserId:11";"UserId:11"
"41";"ACTION GEO-NATIONALITES SANS LOOKUP";"JRN-GEO-20260910204003067";"10/09/2026 20:40:03";"ACTION";"ACTION import GEO-NATIONALITES.csv sans lookup";"OBJ-GEO-NATIONALITE";"CSV";"GEO-NATIONALITES.csv";"100";"100";"0";"0";"LOT TERMINE";"Lot=2; Fin=100; Creations=100; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:40:04";"09/10/2026 18:40:04";"UserId:11";"UserId:11"
"42";"ACTION GEO-NATIONALITES SANS LOOKUP";"JRN-GEO-20260910204040514";"10/09/2026 20:40:40";"ACTION";"ACTION import GEO-NATIONALITES.csv sans lookup";"OBJ-GEO-NATIONALITE";"CSV";"GEO-NATIONALITES.csv";"150";"150";"0";"0";"LOT TERMINE";"Lot=3; Fin=150; Creations=150; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:40:41";"09/10/2026 18:40:41";"UserId:11";"UserId:11"
"43";"ACTION GEO-NATIONALITES SANS LOOKUP";"JRN-GEO-20260910204117824";"10/09/2026 20:41:17";"ACTION";"ACTION import GEO-NATIONALITES.csv sans lookup";"OBJ-GEO-NATIONALITE";"CSV";"GEO-NATIONALITES.csv";"200";"200";"0";"0";"LOT TERMINE";"Lot=4; Fin=200; Creations=200; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:41:19";"09/10/2026 18:41:19";"UserId:11";"UserId:11"
"44";"ACTION GEO-NATIONALITES SANS LOOKUP";"JRN-GEO-20260910204155324";"10/09/2026 20:41:55";"ACTION";"ACTION import GEO-NATIONALITES.csv sans lookup";"OBJ-GEO-NATIONALITE";"CSV";"GEO-NATIONALITES.csv";"249";"249";"0";"0";"LOT TERMINE";"Lot=5; Fin=249; Creations=249; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:41:56";"09/10/2026 18:41:56";"UserId:11";"UserId:11"
"45";"FIN GEO-NATIONALITES SANS LOOKUP";"JRN-GEO-20260910204156154";"10/09/2026 20:41:56";"FIN";"FIN import GEO-NATIONALITES.csv sans lookup";"OBJ-GEO-NATIONALITE";"CSV";"GEO-NATIONALITES.csv";"249";"249";"0";"0";"SUCCES";"Total=249; Creations=249; Ignores=0; Erreurs=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:41:57";"09/10/2026 18:41:57";"UserId:11";"UserId:11"
"46";"DEBUT GEO-FUSEAUX-HORAIRES SANS LOOKUP";"JRN-GEO-20260910204528181";"10/09/2026 20:45:28";"DEBUT";"DEBUT import GEO-FUSEAUX-HORAIRES.csv sans lookup";"OBJ-GEO-FUSEAU-HORAIRE";"CSV";"GEO-FUSEAUX-HORAIRES.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=38; Reprise=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:45:29";"09/10/2026 18:45:29";"UserId:11";"UserId:11"
"47";"ACTION GEO-FUSEAUX-HORAIRES SANS LOOKUP";"JRN-GEO-20260910204537726";"10/09/2026 20:45:37";"ACTION";"ACTION import GEO-FUSEAUX-HORAIRES.csv sans lookup";"OBJ-GEO-FUSEAU-HORAIRE";"CSV";"GEO-FUSEAUX-HORAIRES.csv";"20";"0";"0";"20";"LOT TERMINE";"Lot=1; Fin=20; Creations=0; Ignores=0; Erreurs=20; Sans lookup";"Non";"Non";"";"09/10/2026 18:45:39";"09/10/2026 18:45:39";"UserId:11";"UserId:11"
"48";"ACTION GEO-FUSEAUX-HORAIRES SANS LOOKUP";"JRN-GEO-20260910204539122";"10/09/2026 20:45:39";"ACTION";"ACTION import GEO-FUSEAUX-HORAIRES.csv sans lookup";"OBJ-GEO-FUSEAU-HORAIRE";"CSV";"GEO-FUSEAUX-HORAIRES.csv";"38";"0";"0";"38";"LOT TERMINE";"Lot=2; Fin=38; Creations=0; Ignores=0; Erreurs=38; Sans lookup";"Non";"Non";"";"09/10/2026 18:45:40";"09/10/2026 18:45:40";"UserId:11";"UserId:11"
"49";"FIN GEO-FUSEAUX-HORAIRES SANS LOOKUP";"JRN-GEO-20260910204539992";"10/09/2026 20:45:39";"FIN";"FIN import GEO-FUSEAUX-HORAIRES.csv sans lookup";"OBJ-GEO-FUSEAU-HORAIRE";"CSV";"GEO-FUSEAUX-HORAIRES.csv";"38";"0";"0";"38";"A CONTROLER";"Total=38; Creations=0; Ignores=0; Erreurs=38; Import sans lookup";"Non";"Non";"";"09/10/2026 18:45:41";"09/10/2026 18:45:41";"UserId:11";"UserId:11"
"50";"DEBUT GEO-FUSEAUX-HORAIRES SANS LOOKUP";"JRN-GEO-20260910205055438";"10/09/2026 20:50:55";"DEBUT";"DEBUT import GEO-FUSEAUX-HORAIRES.csv sans lookup";"OBJ-GEO-FUSEAU-HORAIRE";"CSV";"GEO-FUSEAUX-HORAIRES.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=38; Reprise=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:50:56";"09/10/2026 18:50:56";"UserId:11";"UserId:11"
"51";"ACTION GEO-FUSEAUX-HORAIRES SANS LOOKUP";"JRN-GEO-20260910205120358";"10/09/2026 20:51:20";"ACTION";"ACTION import GEO-FUSEAUX-HORAIRES.csv sans lookup";"OBJ-GEO-FUSEAU-HORAIRE";"CSV";"GEO-FUSEAUX-HORAIRES.csv";"20";"20";"0";"0";"LOT TERMINE";"Lot=1; Fin=20; Creations=20; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:51:21";"09/10/2026 18:51:21";"UserId:11";"UserId:11"
"52";"ACTION GEO-FUSEAUX-HORAIRES SANS LOOKUP";"JRN-GEO-20260910205135802";"10/09/2026 20:51:35";"ACTION";"ACTION import GEO-FUSEAUX-HORAIRES.csv sans lookup";"OBJ-GEO-FUSEAU-HORAIRE";"CSV";"GEO-FUSEAUX-HORAIRES.csv";"38";"38";"0";"0";"LOT TERMINE";"Lot=2; Fin=38; Creations=38; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:51:37";"09/10/2026 18:51:37";"UserId:11";"UserId:11"
"53";"FIN GEO-FUSEAUX-HORAIRES SANS LOOKUP";"JRN-GEO-20260910205136598";"10/09/2026 20:51:36";"FIN";"FIN import GEO-FUSEAUX-HORAIRES.csv sans lookup";"OBJ-GEO-FUSEAU-HORAIRE";"CSV";"GEO-FUSEAUX-HORAIRES.csv";"38";"38";"0";"0";"SUCCES";"Total=38; Creations=38; Ignores=0; Erreurs=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:51:37";"09/10/2026 18:51:37";"UserId:11";"UserId:11"
"54";"DEBUT GEO-STATUTS SANS LOOKUP";"JRN-GEO-20260910221207297";"10/09/2026 22:12:07";"DEBUT";"DEBUT import GEO-STATUTS.csv sans lookup";"OBJ-GEO-STATUT";"CSV";"GEO-STATUTS.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=22; Reprise=0; Import sans lookup";"Non";"Non";"";"09/10/2026 20:12:08";"09/10/2026 20:12:08";"UserId:11";"UserId:11"
"55";"ACTION GEO-STATUTS SANS LOOKUP";"JRN-GEO-20260910221230258";"10/09/2026 22:12:30";"ACTION";"ACTION import GEO-STATUTS.csv sans lookup";"OBJ-GEO-STATUT";"CSV";"GEO-STATUTS.csv";"20";"20";"0";"0";"LOT TERMINE";"Lot=1; Fin=20; Creations=20; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 20:12:31";"09/10/2026 20:12:31";"UserId:11";"UserId:11"
"56";"ACTION GEO-STATUTS SANS LOOKUP";"JRN-GEO-20260910221233112";"10/09/2026 22:12:33";"ACTION";"ACTION import GEO-STATUTS.csv sans lookup";"OBJ-GEO-STATUT";"CSV";"GEO-STATUTS.csv";"22";"22";"0";"0";"LOT TERMINE";"Lot=2; Fin=22; Creations=22; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 20:12:34";"09/10/2026 20:12:34";"UserId:11";"UserId:11"
"57";"FIN GEO-STATUTS SANS LOOKUP";"JRN-GEO-20260910221233930";"10/09/2026 22:12:33";"FIN";"FIN import GEO-STATUTS.csv sans lookup";"OBJ-GEO-STATUT";"CSV";"GEO-STATUTS.csv";"22";"22";"0";"0";"SUCCES";"Total=22; Creations=22; Ignores=0; Erreurs=0; Import sans lookup";"Non";"Non";"";"09/10/2026 20:12:35";"09/10/2026 20:12:35";"UserId:11";"UserId:11"
"58";"DEBUT GEO-LOOKUP-001";"JRN-GEO-20260910221704319";"10/09/2026 22:17:04";"DEBUT";"DEBUT liaison des lookups GEO";"PLUSIEURS LISTES GEO";"SHAREPOINT";"GEO-LOOKUP-001.ps1";"0";"0";"0";"0";"EN COURS";"Audit puis liaison de 10 relations GEO";"Non";"Non";"";"09/10/2026 20:17:05";"09/10/2026 20:17:05";"UserId:11";"UserId:11"
"59";"ACTION GEO-LOOKUP-001";"JRN-GEO-20260910221727961";"10/09/2026 22:17:27";"ACTION";"ACTION liaison des lookups GEO";"PLUSIEURS LISTES GEO";"SHAREPOINT";"GEO-LOOKUP-001.ps1";"18";"0";"18";"0";"RELATION TRAITEE";"OBJ-GEO-REGION.PaysTexte vers OBJ-GEO-PAYS; Liaisons=18; Introuvables=0";"Non";"Non";"";"09/10/2026 20:17:29";"09/10/2026 20:17:29";"UserId:11";"UserId:11"
"60";"ACTION GEO-LOOKUP-001";"JRN-GEO-20260910221804837";"10/09/2026 22:18:04";"ACTION";"ACTION liaison des lookups GEO";"PLUSIEURS LISTES GEO";"SHAREPOINT";"GEO-LOOKUP-001.ps1";"32";"0";"26";"5";"RELATION TRAITEE";"OBJ-GEO-TERRITOIRE.PaysRattachementTexte vers OBJ-GEO-PAYS; Liaisons=26; Introuvables=1";"Non";"Non";"";"09/10/2026 20:18:06";"09/10/2026 20:18:06";"UserId:11";"UserId:11"
