"id";"Title";"IDGeoCapitale";"CodeCapitale";"DescriptionCapitale";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"PaysGeo";"Modified";"Created";"Author";"Editor"
"15";"Mariehamn";"ID-GEO-CAP-000015";"CAP-AX";"";"Oui";"132";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:37";"09/10/2026 08:50:37";"";""
"16";"Bakou";"ID-GEO-CAP-000016";"CAP-AZ";"";"Oui";"21";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:39";"09/10/2026 08:50:39";"";""
"17";"Sarajevo";"ID-GEO-CAP-000017";"CAP-BA";"";"Oui";"209";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:40";"09/10/2026 08:50:40";"";""
"18";"Bridgetown";"ID-GEO-CAP-000018";"CAP-BB";"";"Oui";"40";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:42";"09/10/2026 08:50:42";"";""
"19";"Dhaka";"ID-GEO-CAP-000019";"CAP-BD";"";"Oui";"61";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:43";"09/10/2026 08:50:43";"";""
"20";"Bruxelles";"ID-GEO-CAP-000020";"CAP-BE";"";"Oui";"41";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:44";"09/10/2026 08:50:44";"";""
"21";"Ouagadougou";"ID-GEO-CAP-000021";"CAP-BF";"";"Oui";"165";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:47";"09/10/2026 08:50:47";"";""
"22";"Sofia";"ID-GEO-CAP-000022";"CAP-BG";"";"Oui";"213";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:47";"09/10/2026 08:50:47";"";""
"23";"Manama";"ID-GEO-CAP-000023";"CAP-BH";"";"Oui";"129";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:49";"09/10/2026 08:50:49";"";""
"24";"Bujumbura";"ID-GEO-CAP-000024";"CAP-BI";"";"Oui";"45";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:50";"09/10/2026 08:50:50";"";""
"25";"Porto-Novo";"ID-GEO-CAP-000025";"CAP-BJ";"";"Oui";"183";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:51";"09/10/2026 08:50:51";"";""
"26";"Gustavia";"ID-GEO-CAP-000026";"CAP-BL";"";"Oui";"82";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:53";"09/10/2026 08:50:53";"";""
"27";"Hamilton";"ID-GEO-CAP-000027";"CAP-BM";"";"Oui";"84";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:54";"09/10/2026 08:50:54";"";""
"28";"Bandar Seri Begawan";"ID-GEO-CAP-000028";"CAP-BN";"";"Oui";"23";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:55";"09/10/2026 08:50:55";"";""
"29";"Sucre";"ID-GEO-CAP-000029";"CAP-BO";"";"Oui";"219";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:57";"09/10/2026 08:50:57";"";""
"30";"Kralendijk";"ID-GEO-CAP-000030";"CAP-BQ";"";"Oui";"106";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:58";"09/10/2026 08:50:58";"";""
"31";"Brasília";"ID-GEO-CAP-000031";"CAP-BR";"";"Oui";"37";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:00";"09/10/2026 08:51:00";"";""
"32";"Nassau";"ID-GEO-CAP-000032";"CAP-BS";"";"Oui";"147";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:01";"09/10/2026 08:51:01";"";""
"33";"Thimphu";"ID-GEO-CAP-000033";"CAP-BT";"";"Oui";"228";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:02";"09/10/2026 08:51:02";"";""
"34";"ND - Île Bouvet";"ID-GEO-CAP-000034";"CAP-BV";"";"Oui";"150";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:04";"09/10/2026 08:51:04";"";""
"35";"Gaborone";"ID-GEO-CAP-000035";"CAP-BW";"";"Oui";"77";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:05";"09/10/2026 08:51:05";"";""
"36";"Minsk";"ID-GEO-CAP-000036";"CAP-BY";"";"Oui";"137";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:06";"09/10/2026 08:51:06";"";""
"37";"Belmopan";"ID-GEO-CAP-000037";"CAP-BZ";"";"Oui";"30";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:08";"09/10/2026 08:51:08";"";""
"38";"Ottawa";"ID-GEO-CAP-000038";"CAP-CA";"";"Oui";"164";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:09";"09/10/2026 08:51:09";"";""
"39";"West Island";"ID-GEO-CAP-000039";"CAP-CC";"";"Oui";"243";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:11";"09/10/2026 08:51:11";"";""
"40";"Kinshasa";"ID-GEO-CAP-000040";"CAP-CD";"";"Oui";"104";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:12";"09/10/2026 08:51:12";"";""
"41";"Bangui";"ID-GEO-CAP-000041";"CAP-CF";"";"Oui";"25";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:13";"09/10/2026 08:51:13";"";""
"42";"Brazzaville";"ID-GEO-CAP-000042";"CAP-CG";"";"Oui";"39";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:15";"09/10/2026 08:51:15";"";""
"43";"Berne";"ID-GEO-CAP-000043";"CAP-CH";"";"Oui";"32";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:16";"09/10/2026 08:51:16";"";""
"44";"Yamoussoukro";"ID-GEO-CAP-000044";"CAP-CI";"";"Oui";"246";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:18";"09/10/2026 08:51:18";"";""
"45";"Avarua";"ID-GEO-CAP-000045";"CAP-CK";"";"Oui";"19";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:19";"09/10/2026 08:51:19";"";""
"46";"Santiago";"ID-GEO-CAP-000046";"CAP-CL";"";"Oui";"206";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:20";"09/10/2026 08:51:20";"";""
"47";"Yaoundé";"ID-GEO-CAP-000047";"CAP-CM";"";"Oui";"247";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:22";"09/10/2026 08:51:22";"";""
"48";"Pékin";"ID-GEO-CAP-000048";"CAP-CN";"";"Oui";"173";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:23";"09/10/2026 08:51:23";"";""
"49";"Bogotá";"ID-GEO-CAP-000049";"CAP-CO";"";"Oui";"36";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:25";"09/10/2026 08:51:25";"";""
"50";"San José";"ID-GEO-CAP-000050";"CAP-CR";"";"Oui";"202";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:26";"09/10/2026 08:51:26";"";""
"51";"Havana";"ID-GEO-CAP-000051";"CAP-CU";"";"Oui";"87";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:28";"09/10/2026 08:51:28";"";""
"52";"Praia";"ID-GEO-CAP-000052";"CAP-CV";"";"Oui";"185";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:29";"09/10/2026 08:51:29";"";""
"53";"Willemstad";"ID-GEO-CAP-000053";"CAP-CW";"";"Oui";"244";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:31";"09/10/2026 08:51:31";"";""
"54";"Flying Fish Cove";"ID-GEO-CAP-000054";"CAP-CX";"";"Oui";"73";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:32";"09/10/2026 08:51:32";"";""
"55";"Nicosia";"ID-GEO-CAP-000055";"CAP-CY";"";"Oui";"157";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:34";"09/10/2026 08:51:34";"";""
"56";"Prague";"ID-GEO-CAP-000056";"CAP-CZ";"";"Oui";"184";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:35";"09/10/2026 08:51:35";"";""
"57";"Berlin";"ID-GEO-CAP-000057";"CAP-DE";"";"Oui";"31";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:37";"09/10/2026 08:51:37";"";""
"58";"Djibouti";"ID-GEO-CAP-000058";"CAP-DJ";"";"Oui";"64";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:38";"09/10/2026 08:51:38";"";""
"59";"Copenhague";"ID-GEO-CAP-000059";"CAP-DK";"";"Oui";"58";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:39";"09/10/2026 08:51:39";"";""
"60";"Roseau";"ID-GEO-CAP-000060";"CAP-DM";"";"Oui";"196";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:41";"09/10/2026 08:51:41";"";""
"61";"Santo Domingo";"ID-GEO-CAP-000061";"CAP-DO";"";"Oui";"207";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:42";"09/10/2026 08:51:42";"";""
"62";"Alger";"ID-GEO-CAP-000062";"CAP-DZ";"";"Oui";"6";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:44";"09/10/2026 08:51:44";"";""
"63";"Quito";"ID-GEO-CAP-000063";"CAP-EC";"";"Oui";"188";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:45";"09/10/2026 08:51:45";"";""
"64";"Tallinn";"ID-GEO-CAP-000064";"CAP-EE";"";"Oui";"223";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:47";"09/10/2026 08:51:47";"";""
"65";"Le Caire";"ID-GEO-CAP-000065";"CAP-EG";"";"Oui";"109";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:48";"09/10/2026 08:51:48";"";""
"66";"El Aaiún";"ID-GEO-CAP-000066";"CAP-EH";"";"Oui";"70";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:49";"09/10/2026 08:51:49";"";""
"67";"Asmara";"ID-GEO-CAP-000067";"CAP-ER";"";"Oui";"15";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:51";"09/10/2026 08:51:51";"";""
"68";"Madrid";"ID-GEO-CAP-000068";"CAP-ES";"";"Oui";"123";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:52";"09/10/2026 08:51:52";"";""
"69";"Addis-Abeba";"ID-GEO-CAP-000069";"CAP-ET";"";"Oui";"5";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:54";"09/10/2026 08:51:54";"";""
"70";"Helsinki";"ID-GEO-CAP-000070";"CAP-FI";"";"Oui";"88";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:55";"09/10/2026 08:51:55";"";""
"71";"Suva";"ID-GEO-CAP-000071";"CAP-FJ";"";"Oui";"220";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:57";"09/10/2026 08:51:57";"";""
"72";"Stanley";"ID-GEO-CAP-000072";"CAP-FK";"";"Oui";"217";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:58";"09/10/2026 08:51:58";"";""
"73";"Palikir";"ID-GEO-CAP-000073";"CAP-FM";"";"Oui";"168";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:51:59";"09/10/2026 08:51:59";"";""
"74";"Tórshavn";"ID-GEO-CAP-000074";"CAP-FO";"";"Oui";"231";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:01";"09/10/2026 08:52:01";"";""
"75";"Paris";"ID-GEO-CAP-000075";"CAP-FR";"";"Oui";"172";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:02";"09/10/2026 08:52:02";"";""
"76";"Libreville";"ID-GEO-CAP-000076";"CAP-GA";"";"Oui";"110";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:04";"09/10/2026 08:52:04";"";""
"77";"Londres";"ID-GEO-CAP-000077";"CAP-GB";"";"Oui";"117";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:05";"09/10/2026 08:52:05";"";""
"78";"St. George's";"ID-GEO-CAP-000078";"CAP-GD";"";"Oui";"215";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:06";"09/10/2026 08:52:06";"";""
"79";"Tbilisi";"ID-GEO-CAP-000079";"CAP-GE";"";"Oui";"224";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:08";"09/10/2026 08:52:08";"";""
"80";"Cayenne";"ID-GEO-CAP-000080";"CAP-GF";"";"Oui";"49";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:09";"09/10/2026 08:52:09";"";""
"81";"St. Peter Port";"ID-GEO-CAP-000081";"CAP-GG";"";"Oui";"216";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:11";"09/10/2026 08:52:11";"";""
"82";"Accra";"ID-GEO-CAP-000082";"CAP-GH";"";"Oui";"3";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:12";"09/10/2026 08:52:12";"";""
"83";"Gibraltar";"ID-GEO-CAP-000083";"CAP-GI";"";"Oui";"80";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:13";"09/10/2026 08:52:13";"";""
"84";"Nuuk";"ID-GEO-CAP-000084";"CAP-GL";"";"Oui";"161";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:15";"09/10/2026 08:52:15";"";""
"85";"Banjul";"ID-GEO-CAP-000085";"CAP-GM";"";"Oui";"26";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:17";"09/10/2026 08:52:17";"";""
"86";"Conakry";"ID-GEO-CAP-000086";"CAP-GN";"";"Oui";"57";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:17";"09/10/2026 08:52:17";"";""
"87";"Basse-Terre";"ID-GEO-CAP-000087";"CAP-GP";"";"Oui";"27";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:19";"09/10/2026 08:52:19";"";""
"88";"Malabo";"ID-GEO-CAP-000088";"CAP-GQ";"";"Oui";"125";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:21";"09/10/2026 08:52:21";"";""
"89";"Athènes";"ID-GEO-CAP-000089";"CAP-GR";"";"Oui";"18";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:22";"09/10/2026 08:52:22";"";""
"90";"King Edward Point";"ID-GEO-CAP-000090";"CAP-GS";"";"Oui";"100";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:23";"09/10/2026 08:52:23";"";""
"91";"Guatemala City";"ID-GEO-CAP-000091";"CAP-GT";"";"Oui";"81";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:25";"09/10/2026 08:52:25";"";""
"92";"Hagåtña";"ID-GEO-CAP-000092";"CAP-GU";"";"Oui";"83";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:26";"09/10/2026 08:52:26";"";""
"93";"Bissau";"ID-GEO-CAP-000093";"CAP-GW";"";"Oui";"35";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:28";"09/10/2026 08:52:28";"";""
"94";"Georgetown";"ID-GEO-CAP-000094";"CAP-GY";"";"Oui";"79";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:29";"09/10/2026 08:52:29";"";""
"95";"City of Victoria";"ID-GEO-CAP-000095";"CAP-HK";"";"Oui";"54";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:30";"09/10/2026 08:52:30";"";""
"96";"ND - Îles Heard-et-MacDonald";"ID-GEO-CAP-000096";"CAP-HM";"";"Oui";"151";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:32";"09/10/2026 08:52:32";"";""
"97";"Tegucigalpa";"ID-GEO-CAP-000097";"CAP-HN";"";"Oui";"225";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:34";"09/10/2026 08:52:34";"";""
"98";"Zagreb";"ID-GEO-CAP-000098";"CAP-HR";"";"Oui";"249";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:34";"09/10/2026 08:52:34";"";""
"99";"Port-au-Prince";"ID-GEO-CAP-000099";"CAP-HT";"";"Oui";"182";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:36";"09/10/2026 08:52:36";"";""
"100";"Budapest";"ID-GEO-CAP-000100";"CAP-HU";"";"Oui";"43";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:37";"09/10/2026 08:52:37";"";""
"101";"Jakarta";"ID-GEO-CAP-000101";"CAP-ID";"";"Oui";"91";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:39";"09/10/2026 08:52:39";"";""
"102";"Dublin";"ID-GEO-CAP-000102";"CAP-IE";"";"Oui";"68";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:40";"09/10/2026 08:52:40";"";""
"103";"Jerusalem";"ID-GEO-CAP-000103";"CAP-IL";"";"Oui";"93";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:41";"09/10/2026 08:52:41";"";""
"104";"Douglas";"ID-GEO-CAP-000104";"CAP-IM";"";"Oui";"67";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:43";"09/10/2026 08:52:43";"";""
"105";"New Delhi";"ID-GEO-CAP-000105";"CAP-IN";"";"Oui";"154";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:44";"09/10/2026 08:52:44";"";""
"106";"Diego Garcia";"ID-GEO-CAP-000106";"CAP-IO";"";"Oui";"62";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:46";"09/10/2026 08:52:46";"";""
"107";"Bagdad";"ID-GEO-CAP-000107";"CAP-IQ";"";"Oui";"20";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:47";"09/10/2026 08:52:47";"";""
"108";"Téhéran";"ID-GEO-CAP-000108";"CAP-IR";"";"Oui";"226";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:48";"09/10/2026 08:52:48";"";""
"109";"Reykjavik";"ID-GEO-CAP-000109";"CAP-IS";"";"Oui";"191";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:50";"09/10/2026 08:52:50";"";""
"110";"Rome";"ID-GEO-CAP-000110";"CAP-IT";"";"Oui";"195";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:51";"09/10/2026 08:52:51";"";""
"111";"Saint Helier";"ID-GEO-CAP-000111";"CAP-JE";"";"Oui";"197";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:53";"09/10/2026 08:52:53";"";""
"112";"Kingston (Jamaïque)";"ID-GEO-CAP-000112";"CAP-JM";"";"Oui";"102";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:54";"09/10/2026 08:52:54";"";""
"113";"Amman";"ID-GEO-CAP-000113";"CAP-JO";"";"Oui";"8";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:55";"09/10/2026 08:52:55";"";""
"114";"Tokyo";"ID-GEO-CAP-000114";"CAP-JP";"";"Oui";"230";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:57";"09/10/2026 08:52:57";"";""
"115";"Nairobi";"ID-GEO-CAP-000115";"CAP-KE";"";"Oui";"146";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:52:58";"09/10/2026 08:52:58";"";""
"116";"Bichkek";"ID-GEO-CAP-000116";"CAP-KG";"";"Oui";"34";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:00";"09/10/2026 08:53:00";"";""
"117";"Phnom Penh";"ID-GEO-CAP-000117";"CAP-KH";"";"Oui";"175";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:01";"09/10/2026 08:53:01";"";""
"118";"South Tarawa";"ID-GEO-CAP-000118";"CAP-KI";"";"Oui";"214";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:03";"09/10/2026 08:53:03";"";""
"119";"Moroni";"ID-GEO-CAP-000119";"CAP-KM";"";"Oui";"142";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:04";"09/10/2026 08:53:04";"";""
"120";"Basseterre";"ID-GEO-CAP-000120";"CAP-KN";"";"Oui";"28";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:05";"09/10/2026 08:53:05";"";""
"121";"Pyongyang";"ID-GEO-CAP-000121";"CAP-KP";"";"Oui";"187";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:07";"09/10/2026 08:53:07";"";""
"122";"Séoul";"ID-GEO-CAP-000122";"CAP-KR";"";"Oui";"210";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:08";"09/10/2026 08:53:08";"";""
"123";"Koweït";"ID-GEO-CAP-000123";"CAP-KW";"";"Oui";"105";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:10";"09/10/2026 08:53:10";"";""
"124";"George Town";"ID-GEO-CAP-000124";"CAP-KY";"";"Oui";"78";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:11";"09/10/2026 08:53:11";"";""
"125";"Astana";"ID-GEO-CAP-000125";"CAP-KZ";"";"Oui";"16";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:12";"09/10/2026 08:53:12";"";""
"126";"Vientiane";"ID-GEO-CAP-000126";"CAP-LA";"";"Oui";"239";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:14";"09/10/2026 08:53:14";"";""
"127";"Beyrouth";"ID-GEO-CAP-000127";"CAP-LB";"";"Oui";"33";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:15";"09/10/2026 08:53:15";"";""
"128";"Castries";"ID-GEO-CAP-000128";"CAP-LC";"";"Oui";"48";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:53:17";"09/10/2026 08:53:17";"";""
