"id";"Title";"CODEPAGE";"NOMPAGE";"URLPAGE";"EQUIPE";"DESCRIPTION";"NBUSAGES";"DATEDERNIERCONTROLE";"ACTIF";"VERROUILLE";"SITEINTRANET";"TYPEPAGE";"USAGE";"STATUTPAGE";"OBJREF";"Modified";"Created";"Author";"Editor"
"11";"OBJ-GEO-CAPITALE";"PAG-OBJ-GEO-CAPITALE";"OBJ-GEO-CAPITALE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-CAPITALE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-CAPITALE.aspx}";"";"Page de detail de la liste OBJ-GEO-CAPITALE";"1";"09/19/2026 07:56:17";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:32";"09/19/2026 05:56:19";"";""
"12";"OBJ-GEO-CONTINENT";"PAG-OBJ-GEO-CONTINENT";"OBJ-GEO-CONTINENT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-CONTINENT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-CONTINENT.aspx}";"";"Page de detail de la liste OBJ-GEO-CONTINENT";"1";"09/19/2026 07:56:19";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:34";"09/19/2026 05:56:21";"";""
"13";"OBJ-GEO-DEPARTEMENT";"PAG-OBJ-GEO-DEPARTEMENT";"OBJ-GEO-DEPARTEMENT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-DEPARTEMENT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-DEPARTEMENT.aspx}";"";"Page de detail de la liste OBJ-GEO-DEPARTEMENT";"1";"09/19/2026 07:56:20";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:34";"09/19/2026 05:56:23";"";""
"14";"OBJ-GEO-DEVISE";"PAG-OBJ-GEO-DEVISE";"OBJ-GEO-DEVISE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-DEVISE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-DEVISE.aspx}";"";"Page de detail de la liste OBJ-GEO-DEVISE";"1";"09/19/2026 07:56:22";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:37";"09/19/2026 05:56:24";"";""
"15";"OBJ-GEO-FUSEAU-HORAIRE";"PAG-OBJ-GEO-FUSEAU-HORAIRE";"OBJ-GEO-FUSEAU-HORAIRE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-FUSEAU-HORAIRE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-FUSEAU-HORAIRE.aspx}";"";"Page de detail de la liste OBJ-GEO-FUSEAU-HORAIRE";"1";"09/19/2026 07:56:24";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:37";"09/19/2026 05:56:26";"";""
"16";"OBJ-GEO-LANGUE";"PAG-OBJ-GEO-LANGUE";"OBJ-GEO-LANGUE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-LANGUE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-LANGUE.aspx}";"";"Page de detail de la liste OBJ-GEO-LANGUE";"1";"09/19/2026 07:56:26";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:40";"09/19/2026 05:56:28";"";""
"17";"OBJ-GEO-NATIONALITE";"PAG-OBJ-GEO-NATIONALITE";"OBJ-GEO-NATIONALITE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-NATIONALITE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-NATIONALITE.aspx}";"";"Page de detail de la liste OBJ-GEO-NATIONALITE";"1";"09/19/2026 07:56:27";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:40";"09/19/2026 05:56:30";"";""
"18";"OBJ-GEO-PAYS";"PAG-OBJ-GEO-PAYS";"OBJ-GEO-PAYS";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-PAYS.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-PAYS.aspx}";"";"Page de detail de la liste OBJ-GEO-PAYS";"1";"09/19/2026 07:56:30";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:42";"09/19/2026 05:56:32";"";""
"19";"OBJ-GEO-REGION";"PAG-OBJ-GEO-REGION";"OBJ-GEO-REGION";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-REGION.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-REGION.aspx}";"";"Page de detail de la liste OBJ-GEO-REGION";"1";"09/19/2026 07:56:31";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:43";"09/19/2026 05:56:34";"";""
"20";"OBJ-GEO-SOURCE";"PAG-OBJ-GEO-SOURCE";"OBJ-GEO-SOURCE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-SOURCE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-SOURCE.aspx}";"";"Page de detail de la liste OBJ-GEO-SOURCE";"1";"09/19/2026 07:56:33";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:45";"09/19/2026 05:56:35";"";""
"21";"OBJ-GEO-STATUT";"PAG-OBJ-GEO-STATUT";"OBJ-GEO-STATUT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-STATUT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-STATUT.aspx}";"";"Page de detail de la liste OBJ-GEO-STATUT";"1";"09/19/2026 07:56:35";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:46";"09/19/2026 05:56:37";"";""
"22";"OBJ-GEO-TERRITOIRE";"PAG-OBJ-GEO-TERRITOIRE";"OBJ-GEO-TERRITOIRE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-TERRITOIRE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-TERRITOIRE.aspx}";"";"Page de detail de la liste OBJ-GEO-TERRITOIRE";"1";"09/19/2026 07:56:37";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:48";"09/19/2026 05:56:39";"";""
"23";"OBJ-GEO-VILLE";"PAG-OBJ-GEO-VILLE";"OBJ-GEO-VILLE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-VILLE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-VILLE.aspx}";"";"Page de detail de la liste OBJ-GEO-VILLE";"1";"09/19/2026 07:56:38";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:50";"09/19/2026 05:56:40";"";""
"24";"OBJ-GEO-ZONE";"PAG-OBJ-GEO-ZONE";"OBJ-GEO-ZONE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-ZONE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-GEO-ZONE.aspx}";"";"Page de detail de la liste OBJ-GEO-ZONE";"1";"09/19/2026 07:56:40";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:51";"09/19/2026 05:56:42";"";""
"25";"Catalogue OBJ-JRN-10";"PAG-OBJ-JRN-10";"Catalogue OBJ-JRN-10";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-JRN-10.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-JRN-10.aspx}";"";"Page de detail de la liste OBJ-JRN-10";"1";"09/19/2026 07:56:43";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:54";"09/19/2026 05:56:45";"";""
"26";"OBJ-JRN-GEO";"PAG-OBJ-JRN-GEO";"OBJ-JRN-GEO";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-JRN-GEO.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-JRN-GEO.aspx}";"";"Page de detail de la liste OBJ-JRN-GEO";"1";"09/19/2026 07:56:45";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:58";"09/19/2026 05:56:47";"";""
"27";"OBJ-MODULE";"PAG-OBJ-MODULE";"OBJ-MODULE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-MODULE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-MODULE.aspx}";"";"Page de detail de la liste OBJ-MODULE";"1";"09/19/2026 07:56:48";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:01";"09/19/2026 05:56:50";"";""
"28";"OBJ-ORG";"PAG-OBJ-ORG";"OBJ-ORG";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ORG.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ORG.aspx}";"";"Page de detail de la liste OBJ-ORG";"1";"09/19/2026 07:56:50";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:02";"09/19/2026 05:56:52";"";""
"29";"OBJ-ORG-COMPTE";"PAG-OBJ-ORG-COMPTE";"OBJ-ORG-COMPTE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ORG-COMPTE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ORG-COMPTE.aspx}";"";"Page de detail de la liste OBJ-ORG-COMPTE";"1";"09/19/2026 07:56:52";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:04";"09/19/2026 05:56:54";"";""
"30";"OBJ-ORG-CONTACT";"PAG-OBJ-ORG-CONTACT";"OBJ-ORG-CONTACT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ORG-CONTACT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ORG-CONTACT.aspx}";"";"Page de detail de la liste OBJ-ORG-CONTACT";"1";"09/19/2026 07:56:53";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:05";"09/19/2026 05:56:55";"";""
"31";"Catalogue OBJ-PAG-PPB";"PAG-OBJ-PAG-PPB";"Catalogue OBJ-PAG-PPB";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PAG-PPB.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PAG-PPB.aspx}";"";"Page de detail de la liste OBJ-PAG-PPB";"1";"09/19/2026 07:56:55";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:07";"09/19/2026 05:56:57";"";""
"32";"Catalogue OBJ-PAG-PPW";"PAG-OBJ-PAG-PPW";"Catalogue OBJ-PAG-PPW";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PAG-PPW.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PAG-PPW.aspx}";"";"Page de detail de la liste OBJ-PAG-PPW";"1";"09/19/2026 07:56:57";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:08";"09/19/2026 05:56:59";"";""
"33";"Catalogue OBJ-PAG-SHAR";"PAG-OBJ-PAG-SHAR";"Catalogue OBJ-PAG-SHAR";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PAG-SHAR.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PAG-SHAR.aspx}";"";"Page de detail de la liste OBJ-PAG-SHAR";"1";"09/19/2026 07:56:58";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:10";"09/19/2026 05:57:00";"";""
"34";"Catalogue OBJ-PAR";"PAG-OBJ-PAR";"Catalogue OBJ-PAR";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PAR.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PAR.aspx}";"";"Page de detail de la liste OBJ-PAR";"1";"09/19/2026 07:57:00";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:11";"09/19/2026 05:57:02";"";""
"35";"OBJ-PWS";"PAG-OBJ-PWS";"OBJ-PWS";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PWS.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-PWS.aspx}";"";"Page de detail de la liste OBJ-PWS";"1";"09/19/2026 07:57:02";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:14";"09/19/2026 05:57:04";"";""
"36";"OBJ-REL";"PAG-OBJ-REL";"OBJ-REL";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-REL.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-REL.aspx}";"";"Page de detail de la liste OBJ-REL";"1";"09/19/2026 07:57:05";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:16";"09/19/2026 05:57:07";"";""
"37";"Catalogue OBJ-SCR-00";"PAG-OBJ-SCR-00";"Catalogue OBJ-SCR-00";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-00.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-00.aspx}";"";"Page de detail de la liste OBJ-SCR-00";"1";"09/19/2026 07:57:07";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:18";"09/19/2026 05:57:09";"";""
"38";"Catalogue OBJ-SCR-10";"PAG-OBJ-SCR-10";"Catalogue OBJ-SCR-10";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-10.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-10.aspx}";"";"Page de detail de la liste OBJ-SCR-10";"1";"09/19/2026 07:57:08";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:19";"09/19/2026 05:57:10";"";""
"39";"Catalogue OBJ-SCR-20";"PAG-OBJ-SCR-20";"Catalogue OBJ-SCR-20";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-20.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-20.aspx}";"";"Page de detail de la liste OBJ-SCR-20";"1";"09/19/2026 07:57:10";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:21";"09/19/2026 05:57:12";"";""
"40";"Catalogue OBJ-SCR-30";"PAG-OBJ-SCR-30";"Catalogue OBJ-SCR-30";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-30.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-30.aspx}";"";"Page de detail de la liste OBJ-SCR-30";"1";"09/19/2026 07:57:11";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:22";"09/19/2026 05:57:14";"";""
"41";"Catalogue OBJ-SCR-40";"PAG-OBJ-SCR-40";"Catalogue OBJ-SCR-40";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-40.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-40.aspx}";"";"Page de detail de la liste OBJ-SCR-40";"1";"09/19/2026 07:57:13";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:24";"09/19/2026 05:57:15";"";""
"42";"Catalogue OBJ-SCR-50";"PAG-OBJ-SCR-50";"Catalogue OBJ-SCR-50";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-50.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-50.aspx}";"";"Page de detail de la liste OBJ-SCR-50";"1";"09/19/2026 07:57:15";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:25";"09/19/2026 05:57:17";"";""
"43";"Catalogue OBJ-SCR-60";"PAG-OBJ-SCR-60";"Catalogue OBJ-SCR-60";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-60.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-60.aspx}";"";"Page de detail de la liste OBJ-SCR-60";"1";"09/19/2026 07:57:16";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:27";"09/19/2026 05:57:18";"";""
"44";"Catalogue OBJ-SCR-80";"PAG-OBJ-SCR-80";"Catalogue OBJ-SCR-80";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-80.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-80.aspx}";"";"Page de detail de la liste OBJ-SCR-80";"1";"09/19/2026 07:57:19";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:30";"09/19/2026 05:57:21";"";""
"45";"Catalogue OBJ-SCR-90";"PAG-OBJ-SCR-90";"Catalogue OBJ-SCR-90";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-90.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-90.aspx}";"";"Page de detail de la liste OBJ-SCR-90";"1";"09/19/2026 07:57:21";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:31";"09/19/2026 05:57:23";"";""
"46";"OBJ-SITE";"PAG-OBJ-SITE";"OBJ-SITE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SITE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SITE.aspx}";"";"Page de detail de la liste OBJ-SITE";"1";"09/19/2026 07:57:23";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:33";"09/19/2026 05:57:25";"";""
"47";"OBJ-STATUT";"PAG-OBJ-STATUT";"OBJ-STATUT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-STATUT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-STATUT.aspx}";"";"Page de detail de la liste OBJ-STATUT";"1";"09/19/2026 07:57:24";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:34";"09/19/2026 05:57:26";"";""
"48";"Catalogue OBJ-VAL";"PAG-OBJ-VAL";"Catalogue OBJ-VAL";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-VAL.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-VAL.aspx}";"";"Page de detail de la liste OBJ-VAL";"1";"09/19/2026 07:57:26";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:38";"09/19/2026 05:57:28";"";""
"49";"Catalogue OBJ-WKF";"PAG-OBJ-WKF";"Catalogue OBJ-WKF";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-WKF.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-WKF.aspx}";"";"Page de detail de la liste OBJ-WKF";"1";"09/19/2026 07:57:27";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:39";"09/19/2026 05:57:29";"";""
"50";"OBJ-ACHAT";"PAG-OBJ-ACHAT";"OBJ-ACHAT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ACHAT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ACHAT.aspx}";"";"Page de detail de la liste OBJ-ACHAT";"1";"09/19/2026 09:39:14";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:17";"09/19/2026 07:39:17";"";""
"51";"OBJ-AUT";"PAG-OBJ-AUT";"OBJ-AUT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-AUT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-AUT.aspx}";"";"Page de detail de la liste OBJ-AUT";"1";"09/19/2026 09:39:21";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:23";"09/19/2026 07:39:23";"";""
"52";"OBJ-BIB-SHAR";"PAG-OBJ-BIB-SHAR";"OBJ-BIB-SHAR";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-BIB-SHAR.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-BIB-SHAR.aspx}";"";"Page de detail de la liste OBJ-BIB-SHAR";"1";"09/19/2026 09:39:22";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:25";"09/19/2026 07:39:25";"";""
"53";"OBJ-CATALOGUE";"PAG-OBJ-CATALOGUE";"OBJ-CATALOGUE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-CATALOGUE.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-CATALOGUE.aspx}";"";"Page de detail de la liste OBJ-CATALOGUE";"1";"09/19/2026 09:39:24";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:26";"09/19/2026 07:39:26";"";""
"54";"OBJ-CLIENT";"PAG-OBJ-CLIENT";"OBJ-CLIENT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-CLIENT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-CLIENT.aspx}";"";"Page de detail de la liste OBJ-CLIENT";"1";"09/19/2026 09:39:26";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:28";"09/19/2026 07:39:28";"";""
"55";"OBJ-JRN-AUT";"PAG-OBJ-JRN-AUT";"OBJ-JRN-AUT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-JRN-AUT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-JRN-AUT.aspx}";"";"Page de detail de la liste OBJ-JRN-AUT";"1";"09/19/2026 09:39:54";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:56";"09/19/2026 07:39:56";"";""
